numer_sta,date,nb_niv,
07761,20241204005810,724,
p_niv,altitude,t,td,dd,ff,
25073,10286.900000,216.460000,210.990000,308,30.000000,
25015,10301.700000,216.400000,210.880000,308,30.000000,
24955,10316.900000,216.350000,210.790000,308,30.000000,
24891,10333.200000,216.270000,210.680000,307,29.900000,
24831,10348.400000,216.190000,210.720000,307,29.800000,
24771,10363.700000,216.120000,210.410000,307,29.700000,
24714,10378.400000,216.040000,210.310000,307,29.600000,
24650,10394.600000,215.930000,210.080000,307,29.500000,
24592,10409.600000,215.950000,210.040000,307,29.400000,
24534,10424.400000,215.930000,210.110000,306,29.300000,
24482,10437.800000,215.850000,209.850000,306,29.100000,
24419,10454.200000,215.810000,209.820000,306,28.900000,
24355,10470.700000,215.760000,209.760000,305,28.700000,
24305,10483.800000,215.660000,209.640000,305,28.500000,
24242,10500.100000,215.570000,209.780000,305,28.300000,
24177,10517.100000,215.460000,209.390000,304,28.000000,
24114,10533.500000,215.330000,209.100000,304,27.800000,
24052,10549.800000,215.230000,208.960000,303,27.600000,
23999,10563.500000,215.100000,208.720000,303,27.300000,
23943,10578.400000,214.970000,208.500000,302,27.100000,
23887,10593.000000,214.850000,208.610000,302,26.900000,
23834,10607.200000,214.730000,208.160000,302,26.800000,
23775,10622.600000,214.620000,207.850000,301,26.500000,
23722,10636.700000,214.510000,207.590000,301,26.400000,
23669,10650.600000,214.380000,207.370000,301,26.100000,
23603,10668.100000,214.250000,207.150000,301,25.900000,
23543,10684.100000,214.150000,206.860000,300,25.700000,
23470,10703.600000,214.080000,206.620000,301,25.500000,
23405,10721.000000,214.060000,206.440000,301,25.300000,
23343,10737.500000,213.970000,206.190000,301,25.100000,
23284,10753.500000,213.830000,206.010000,301,24.900000,
23227,10768.900000,213.690000,205.480000,302,24.700000,
23170,10784.200000,213.570000,205.070000,302,24.500000,
23115,10799.100000,213.420000,204.690000,302,24.300000,
23054,10815.500000,213.310000,204.260000,303,24.000000,
22985,10834.200000,213.240000,203.930000,303,23.800000,
22933,10848.400000,213.150000,203.600000,303,23.500000,
22883,10861.900000,213.110000,203.330000,303,23.300000,
22827,10877.300000,213.140000,203.110000,303,23.100000,
22774,10891.700000,213.110000,202.810000,303,22.800000,
22723,10905.700000,213.070000,202.710000,302,22.600000,
22665,10921.800000,213.010000,202.660000,302,22.400000,
22605,10938.200000,212.970000,202.450000,301,22.200000,
22544,10955.100000,212.990000,202.410000,301,22.000000,
22483,10972.000000,212.930000,202.400000,300,22.000000,
22454,10980.000000,212.950000,202.450000,299,22.000000,
22368,11003.800000,213.010000,202.590000,298,22.100000,
22309,11020.500000,212.970000,202.710000,297,22.200000,
22252,11036.300000,213.050000,202.890000,296,22.400000,
22193,11053.100000,213.220000,203.060000,295,22.500000,
22139,11068.000000,213.440000,203.280000,295,22.700000,
22088,11082.500000,213.510000,203.390000,294,22.900000,
22026,11100.200000,213.470000,203.380000,293,23.000000,
21969,11116.200000,213.440000,203.380000,292,23.200000,
21912,11132.500000,213.360000,203.240000,291,23.400000,
