numer_sta,date,nb_niv,
07761,20241202111535,1180,
p_niv,altitude,t,td,dd,ff,
102000,5.000000,289.650000,280.050000,208,2.400000,
101750,26.000000,288.280000,280.140000,210,2.400000,
101610,37.000000,287.570000,280.720000,210,2.500000,
101440,51.000000,287.350000,281.670000,210,2.600000,
101260,66.000000,287.000000,281.490000,211,2.600000,
101170,74.000000,286.760000,281.250000,213,2.700000,
101090,81.000000,286.610000,281.020000,213,2.800000,
100930,94.000000,286.560000,280.710000,213,2.800000,
100820,103.000000,286.560000,280.460000,214,2.800000,
100690,114.000000,286.420000,280.320000,214,2.900000,
100580,123.000000,286.370000,280.120000,214,2.900000,
100450,134.000000,286.340000,280.000000,215,2.900000,
100310,146.000000,286.180000,279.890000,215,2.900000,
100180,156.000000,286.150000,279.960000,216,2.900000,
100000,172.000000,286.030000,279.930000,216,2.900000,
99940,177.000000,285.980000,279.970000,216,2.800000,
99820,187.000000,285.840000,279.950000,215,2.800000,
99710,196.000000,285.740000,279.980000,215,2.700000,
99590,206.000000,285.670000,280.040000,217,2.600000,
99460,218.000000,285.550000,280.090000,220,2.500000,
99340,227.000000,285.500000,280.210000,222,2.400000,
99220,238.000000,285.430000,280.290000,224,2.100000,
99090,248.000000,285.500000,280.460000,230,1.900000,
98960,260.000000,285.450000,280.480000,236,1.700000,
98820,271.000000,285.310000,280.390000,240,1.500000,
98690,283.000000,285.260000,280.370000,247,1.400000,
98560,294.000000,285.120000,280.250000,258,1.300000,
98480,300.000000,285.070000,280.240000,267,1.300000,
98310,315.000000,285.000000,280.210000,275,1.300000,
98210,323.000000,284.980000,280.230000,287,1.300000,
98110,332.000000,284.930000,280.210000,296,1.400000,
98020,339.000000,284.880000,280.200000,302,1.500000,
97910,349.000000,284.740000,280.130000,308,1.700000,
97760,361.000000,284.600000,280.030000,313,1.800000,
97630,372.000000,284.600000,280.060000,314,2.000000,
97480,386.000000,284.480000,279.970000,314,2.200000,
97340,398.000000,284.390000,279.910000,315,2.300000,
97220,408.000000,284.320000,279.910000,316,2.300000,
97090,419.000000,284.220000,279.880000,314,2.300000,
96970,429.000000,284.150000,279.850000,312,2.300000,
96850,440.000000,284.030000,279.790000,312,2.400000,
96710,452.000000,283.940000,279.720000,311,2.400000,
96590,462.000000,283.890000,279.660000,312,2.500000,
96450,474.000000,283.800000,279.590000,314,2.600000,
96350,483.000000,283.710000,279.560000,317,2.600000,
96230,493.000000,283.640000,279.560000,319,2.600000,
96090,506.000000,283.470000,279.480000,319,2.600000,
95940,518.000000,283.360000,279.420000,318,2.600000,
95800,531.000000,283.260000,279.390000,317,2.700000,
95670,542.000000,283.170000,279.330000,316,2.700000,
95550,553.000000,283.070000,279.170000,315,2.800000,
95420,563.000000,283.000000,279.080000,315,2.900000,
95320,572.000000,282.910000,279.040000,316,3.100000,
95170,586.000000,282.770000,278.830000,318,3.200000,
95000,600.000000,282.680000,278.590000,318,3.400000,
94890,610.000000,282.650000,278.570000,318,3.600000,
94760,621.000000,282.540000,278.540000,320,3.700000,
94640,632.000000,282.440000,278.500000,321,3.800000,
94510,644.000000,282.350000,278.450000,321,3.700000,
94380,654.000000,282.250000,278.400000,322,3.700000,
94270,664.000000,282.160000,278.410000,322,3.600000,
94150,675.000000,282.040000,278.250000,322,3.600000,
94030,685.000000,281.930000,277.880000,322,3.700000,
93880,699.000000,281.900000,277.660000,323,3.900000,
93760,710.000000,281.830000,277.290000,324,4.100000,
