numer_sta,date,nb_niv,
07761,20250131111532,3256,
p_niv,altitude,t,td,dd,ff,
88020,1253.000000,276.900000,276.700000,218,3.500000,
87890,1265.000000,276.850000,276.570000,218,3.400000,
87800,1273.000000,276.790000,276.480000,218,3.300000,
87660,1286.000000,276.690000,276.390000,216,3.300000,
87540,1297.000000,276.580000,276.330000,214,3.300000,
87420,1308.000000,276.490000,276.230000,212,3.300000,
87260,1323.000000,276.400000,276.210000,211,3.300000,
87140,1335.000000,276.280000,276.110000,210,3.300000,
87030,1345.000000,276.220000,276.050000,209,3.400000,
86890,1358.000000,276.100000,275.980000,209,3.400000,
86790,1367.000000,276.040000,275.960000,209,3.500000,
86700,1375.000000,275.970000,275.970000,209,3.600000,
86630,1382.000000,275.920000,275.920000,209,3.700000,
86490,1395.000000,275.790000,275.790000,209,3.800000,
86360,1408.000000,275.670000,275.670000,209,4.000000,
86230,1419.000000,275.560000,275.560000,209,4.100000,
86090,1433.000000,275.420000,275.420000,208,4.300000,
85950,1445.000000,275.330000,275.330000,208,4.400000,
85870,1453.000000,275.270000,275.270000,209,4.600000,
85750,1465.000000,275.150000,275.150000,211,4.700000,
85600,1478.000000,275.060000,275.060000,212,4.900000,
85510,1487.000000,275.010000,275.010000,214,5.000000,
85390,1499.000000,274.920000,274.920000,215,5.100000,
85240,1513.000000,274.850000,274.850000,216,5.200000,
85100,1526.000000,274.760000,274.760000,216,5.300000,
85000,1536.000000,274.700000,274.700000,217,5.400000,
84850,1550.000000,274.630000,274.630000,218,5.500000,
84720,1562.000000,274.520000,274.520000,218,5.700000,
84580,1575.000000,274.430000,274.430000,218,5.900000,
84430,1590.000000,274.360000,274.360000,218,6.000000,
84270,1605.000000,274.330000,274.330000,218,6.100000,
84170,1615.000000,274.240000,274.240000,217,6.200000,
84060,1626.000000,274.110000,274.110000,218,6.400000,
83920,1638.000000,274.090000,274.090000,219,6.400000,
83810,1649.000000,274.060000,274.060000,219,6.500000,
83700,1660.000000,274.020000,274.020000,218,6.700000,
83560,1673.000000,273.910000,273.910000,219,6.800000,
83390,1689.000000,273.820000,273.820000,220,6.900000,
83270,1701.000000,273.750000,273.750000,220,7.100000,
83120,1715.000000,273.660000,273.660000,219,7.300000,
82980,1729.000000,273.520000,273.520000,220,7.500000,
82830,1743.000000,273.410000,273.410000,220,7.600000,
82690,1757.000000,273.340000,273.340000,220,7.700000,
82590,1766.000000,273.280000,273.280000,220,7.900000,
82480,1777.000000,273.160000,273.160000,220,8.000000,
82340,1791.000000,273.120000,273.120000,220,8.100000,
82250,1800.000000,273.070000,273.070000,219,8.200000,
82170,1807.000000,273.030000,273.030000,219,8.400000,
82060,1818.000000,272.960000,272.960000,219,8.500000,
81930,1831.000000,272.820000,272.820000,218,8.700000,
81800,1844.000000,272.730000,272.730000,218,8.900000,
81660,1857.000000,272.550000,272.550000,217,9.100000,
81540,1869.000000,272.490000,272.490000,217,9.300000,
81410,1882.000000,272.370000,272.370000,216,9.400000,
81320,1891.000000,272.330000,272.330000,216,9.700000,
81200,1903.000000,272.260000,272.260000,215,10.000000,
81040,1918.000000,272.120000,272.120000,215,10.100000,
80940,1928.000000,272.060000,272.060000,215,10.200000,
80840,1938.000000,271.920000,271.920000,215,10.300000,
80720,1950.000000,271.810000,271.810000,215,10.500000,
80670,1955.000000,271.790000,271.790000,215,10.500000,
80490,1973.000000,271.760000,271.760000,215,10.500000,
80370,1985.000000,271.720000,271.720000,214,10.600000,
80240,1998.000000,271.650000,271.650000,214,10.700000,
80110,2010.000000,271.580000,271.580000,213,10.700000,
80000,2022.000000,271.490000,271.490000,213,10.700000,
79890,2033.000000,271.430000,271.430000,213,10.700000,
79770,2045.000000,271.340000,271.340000,213,10.700000,
79660,2055.000000,271.270000,271.270000,213,10.700000,
79540,2067.000000,271.180000,271.180000,213,10.600000,
79430,2078.000000,271.090000,271.090000,213,10.500000,
79350,2087.000000,271.040000,271.040000,213,10.500000,
79220,2100.000000,270.950000,270.950000,213,10.400000,
79130,2108.000000,270.890000,270.890000,213,10.300000,
79000,2121.000000,270.800000,270.800000,213,10.300000,
78900,2131.000000,270.820000,270.820000,213,10.300000,
78790,2142.000000,270.840000,270.840000,213,10.300000,
78650,2157.000000,270.800000,270.800000,212,10.400000,
78580,2164.000000,270.750000,270.750000,212,10.400000,
78450,2177.000000,270.680000,270.680000,211,10.500000,
78330,2190.000000,270.620000,270.620000,211,10.500000,
78180,2205.000000,270.480000,270.480000,210,10.400000,
78080,2215.000000,270.440000,270.440000,210,10.400000,
77980,2225.000000,270.370000,270.370000,209,10.400000,
77870,2236.000000,270.300000,270.300000,209,10.400000,
77740,2249.000000,270.190000,270.190000,208,10.500000,
77600,2263.000000,270.120000,270.120000,208,10.600000,
77480,2276.000000,270.080000,270.080000,208,10.800000,
77360,2289.000000,269.990000,269.990000,208,11.000000,
77240,2300.000000,269.900000,269.900000,207,11.000000,
77120,2313.000000,269.870000,269.870000,206,11.200000,
76970,2328.000000,269.780000,269.780000,206,11.300000,
76810,2344.000000,269.920000,269.920000,205,11.400000,
76690,2357.000000,269.960000,269.960000,205,11.600000,
76570,2369.000000,269.940000,269.940000,205,11.600000,
76490,2378.000000,269.890000,269.890000,205,11.700000,
76390,2388.000000,269.830000,269.830000,206,11.700000,
76280,2399.000000,269.740000,269.740000,206,11.700000,
76190,2408.000000,269.690000,269.690000,206,11.700000,
76150,2413.000000,269.650000,269.650000,206,11.700000,
76060,2422.000000,269.560000,269.560000,206,11.800000,
75970,2432.000000,269.510000,269.510000,206,11.800000,
75880,2441.000000,269.420000,269.420000,206,11.800000,
75780,2451.000000,269.330000,269.330000,206,11.800000,
75690,2461.000000,269.220000,269.220000,206,11.800000,
75590,2471.000000,269.110000,269.110000,206,11.800000,
75480,2482.000000,268.970000,268.970000,205,11.900000,
75350,2496.000000,268.840000,268.840000,205,12.000000,
75210,2511.000000,268.770000,268.770000,205,12.100000,
75110,2522.000000,268.690000,268.690000,205,12.100000,
75000,2533.000000,268.620000,268.620000,205,12.200000,
74900,2544.000000,268.500000,268.500000,205,12.100000,
74790,2555.000000,268.410000,268.410000,205,12.000000,
74660,2569.000000,268.320000,268.320000,204,11.900000,
74550,2581.000000,268.230000,268.230000,204,11.900000,
74430,2593.000000,268.120000,268.120000,204,11.900000,
74300,2606.000000,268.030000,268.030000,204,12.000000,
74190,2619.000000,267.940000,267.940000,204,12.100000,
74060,2632.000000,267.810000,267.810000,205,12.300000,
73950,2644.000000,267.710000,267.710000,205,12.400000,
73800,2660.000000,267.600000,267.600000,205,12.500000,
73710,2669.000000,267.580000,267.580000,205,12.600000,
73610,2680.000000,267.460000,267.460000,206,12.700000,
73480,2694.000000,267.370000,267.370000,206,12.800000,
73360,2707.000000,267.350000,267.350000,206,12.900000,
73210,2722.000000,267.310000,267.310000,206,13.000000,
73100,2734.000000,267.310000,267.310000,205,13.100000,
72990,2746.000000,267.240000,267.240000,205,13.200000,
72890,2757.000000,267.170000,267.170000,206,13.300000,
72790,2768.000000,267.100000,267.100000,206,13.500000,
72680,2780.000000,267.030000,267.030000,206,13.500000,
72560,2793.000000,266.920000,266.920000,206,13.600000,
72420,2808.000000,266.720000,266.720000,206,13.700000,
72390,2811.000000,266.630000,266.630000,206,13.700000,
72240,2828.000000,266.540000,266.540000,206,13.700000,
72120,2840.000000,266.450000,266.450000,206,13.700000,
71990,2855.000000,266.330000,266.330000,206,13.700000,
71920,2862.000000,266.330000,266.330000,206,13.700000,
71830,2872.000000,266.220000,266.220000,206,13.600000,
71750,2881.000000,266.150000,266.150000,206,13.700000,
71610,2896.000000,266.060000,266.060000,206,13.600000,
71500,2908.000000,265.950000,265.950000,206,13.600000,
71410,2917.000000,265.880000,265.880000,206,13.600000,
71300,2929.000000,265.790000,265.790000,205,13.600000,
71210,2939.000000,265.720000,265.720000,205,13.600000,
71090,2953.000000,265.720000,265.720000,204,13.600000,
70970,2966.000000,265.630000,265.630000,203,13.500000,
70860,2978.000000,265.560000,265.560000,202,13.400000,
70740,2991.000000,265.450000,265.450000,201,13.300000,
70620,3004.000000,265.360000,265.360000,200,13.200000,
70540,3012.000000,265.290000,265.290000,200,13.100000,
70430,3025.000000,265.240000,265.240000,199,13.000000,
70330,3037.000000,265.240000,265.240000,199,13.000000,
70200,3051.000000,265.150000,265.150000,198,13.000000,
70090,3063.000000,265.130000,265.100000,198,13.000000,
70000,3073.000000,265.060000,265.010000,197,12.800000,
69850,3089.000000,265.010000,264.870000,196,12.800000,
69730,3102.000000,264.970000,264.740000,196,12.700000,
69650,3111.000000,264.900000,264.510000,196,12.500000,
69570,3121.000000,264.830000,264.440000,195,12.300000,
69460,3133.000000,264.830000,264.360000,195,12.200000,
69350,3145.000000,264.760000,264.360000,196,12.200000,
69240,3158.000000,264.580000,264.260000,196,12.100000,
69090,3174.000000,264.470000,264.150000,197,12.100000,
69000,3185.000000,264.400000,264.030000,197,12.100000,
68910,3195.000000,264.330000,263.990000,199,12.200000,
68820,3204.000000,264.260000,263.980000,200,12.100000,
