numer_sta,date,nb_niv,
07761,20241201125445,672,
p_niv,altitude,t,td,dd,ff,
39003,7543.400000,239.740000,231.440000,360,21.100000,
38874,7566.600000,239.540000,231.390000,360,21.100000,
38755,7588.000000,239.350000,231.230000,360,21.100000,
38630,7610.600000,239.130000,230.890000,360,21.000000,
38495,7635.300000,238.890000,230.450000,0,21.000000,
38377,7656.600000,238.690000,230.070000,0,20.900000,
38255,7679.000000,238.520000,229.930000,1,20.900000,
38137,7700.600000,238.350000,229.850000,1,20.800000,
38014,7723.000000,238.180000,229.680000,2,20.800000,
37887,7746.400000,238.000000,229.850000,2,20.800000,
37753,7771.000000,237.800000,230.190000,2,20.800000,
37630,7793.800000,237.610000,230.550000,3,20.800000,
37504,7817.000000,237.460000,230.700000,3,20.900000,
37409,7834.800000,237.280000,230.820000,4,20.900000,
37289,7857.100000,237.110000,230.950000,4,21.000000,
37173,7878.700000,236.930000,230.940000,4,21.000000,
37045,7902.500000,236.780000,230.920000,4,21.100000,
36917,7926.600000,236.600000,230.800000,4,21.200000,
36799,7948.700000,236.420000,230.660000,4,21.300000,
36666,7973.700000,236.190000,230.380000,4,21.400000,
36541,7997.300000,235.990000,230.040000,4,21.500000,
36416,8021.100000,235.830000,229.610000,4,21.600000,
36298,8043.400000,235.680000,229.110000,4,21.700000,
36184,8065.200000,235.520000,228.640000,4,21.800000,
36064,8088.100000,235.360000,228.200000,3,21.900000,
35945,8110.800000,235.130000,227.670000,3,22.000000,
35821,8134.600000,234.920000,227.180000,3,22.000000,
35706,8156.600000,234.710000,226.580000,3,22.000000,
35598,8177.400000,234.500000,226.180000,3,22.000000,
35483,8199.700000,234.340000,225.890000,2,21.900000,
35361,8223.300000,234.150000,225.680000,2,21.900000,
35233,8248.300000,233.970000,225.560000,2,21.900000,
35103,8273.500000,233.730000,225.540000,2,21.900000,
34978,8297.900000,233.540000,225.570000,2,21.800000,
34871,8318.800000,233.350000,225.570000,2,21.800000,
34763,8340.100000,233.130000,225.560000,2,21.800000,
34647,8362.900000,232.940000,225.600000,2,21.800000,
34535,8384.900000,232.720000,225.580000,2,21.800000,
34415,8408.600000,232.520000,225.590000,3,21.800000,
34294,8432.600000,232.330000,225.620000,3,21.800000,
34180,8455.100000,232.070000,225.510000,3,21.700000,
34062,8478.700000,231.880000,225.340000,3,21.600000,
33942,8502.600000,231.680000,225.100000,3,21.600000,
33826,8525.800000,231.550000,224.980000,3,21.500000,
33704,8550.400000,231.380000,224.780000,3,21.500000,
33585,8574.300000,231.200000,224.690000,3,21.500000,
33479,8595.600000,230.980000,224.630000,3,21.400000,
33361,8619.600000,230.780000,224.630000,3,21.400000,
33245,8643.200000,230.560000,224.530000,3,21.400000,
33136,8665.300000,230.390000,224.320000,2,21.400000,
33024,8688.000000,230.330000,224.170000,2,21.500000,
32919,8709.600000,230.140000,223.920000,2,21.500000,
32815,8730.900000,229.920000,223.560000,2,21.500000,
32708,8752.800000,229.700000,223.170000,1,21.500000,
32591,8777.000000,229.490000,222.740000,1,21.500000,
32480,8799.800000,229.300000,222.250000,360,21.500000,
32375,8821.700000,229.110000,221.720000,359,21.600000,
32273,8842.700000,229.030000,221.250000,358,21.600000,
