numer_sta,date,nb_niv,
07761,20241203005938,905,
p_niv,altitude,t,td,dd,ff,
37465,7651.600000,235.950000,233.730000,269,10.200000,
37354,7672.200000,235.760000,233.520000,269,10.200000,
37242,7692.900000,235.580000,233.320000,269,10.100000,
37128,7714.000000,235.410000,233.230000,269,10.100000,
37020,7734.100000,235.240000,233.100000,269,10.000000,
36917,7753.300000,235.070000,232.930000,269,9.900000,
36814,7772.500000,234.910000,232.760000,269,9.800000,
36699,7794.000000,234.800000,232.680000,269,9.800000,
36600,7812.600000,234.730000,232.630000,269,9.700000,
36507,7830.000000,234.600000,232.510000,269,9.700000,
36395,7851.200000,234.390000,232.330000,269,9.700000,
36288,7871.500000,234.200000,232.150000,269,9.700000,
36181,7891.700000,234.020000,231.990000,269,9.700000,
36073,7912.200000,233.840000,231.830000,268,9.800000,
35958,7933.900000,233.670000,231.700000,268,9.800000,
35853,7954.000000,233.490000,231.550000,268,9.900000,
35758,7972.200000,233.300000,231.410000,267,9.900000,
35658,7991.200000,233.160000,231.320000,267,10.000000,
35554,8011.100000,232.970000,231.140000,266,10.100000,
35441,8032.800000,232.860000,231.040000,266,10.200000,
35338,8052.700000,232.670000,230.860000,265,10.200000,
35235,8072.600000,232.560000,230.740000,265,10.300000,
35127,8093.600000,232.370000,230.560000,264,10.400000,
35026,8113.100000,232.170000,230.360000,264,10.500000,
34920,8133.800000,231.980000,230.160000,264,10.600000,
34811,8155.000000,231.840000,230.000000,264,10.700000,
34710,8174.600000,231.670000,229.820000,264,10.800000,
34613,8193.600000,231.540000,229.700000,264,10.800000,
34521,8211.600000,231.400000,229.560000,265,10.900000,
34431,8229.300000,231.230000,229.390000,265,10.900000,
34348,8245.700000,231.110000,229.300000,266,11.000000,
34252,8264.700000,230.920000,229.110000,266,11.000000,
34137,8287.400000,230.690000,228.880000,266,11.000000,
34038,8307.000000,230.500000,228.690000,266,11.100000,
33940,8326.500000,230.360000,228.550000,266,11.100000,
33853,8343.800000,230.310000,228.500000,266,11.100000,
33763,8361.600000,230.200000,228.400000,265,11.100000,
33664,8381.400000,230.010000,228.210000,265,11.100000,
33559,8402.400000,229.870000,228.060000,264,11.100000,
33459,8422.500000,229.680000,227.850000,264,11.100000,
33358,8442.800000,229.550000,227.690000,264,11.200000,
33254,8463.800000,229.410000,227.520000,263,11.200000,
33144,8486.000000,229.230000,227.310000,262,11.300000,
33046,8505.900000,229.070000,227.150000,262,11.300000,
32948,8525.800000,228.920000,227.020000,262,11.400000,
32855,8544.800000,228.780000,226.850000,261,11.400000,
32764,8563.500000,228.630000,226.680000,261,11.400000,
32674,8581.800000,228.470000,226.500000,261,11.500000,
32561,8604.900000,228.290000,226.290000,260,11.500000,
32475,8622.500000,228.140000,226.130000,260,11.500000,
32389,8640.200000,228.010000,226.000000,259,11.500000,
32319,8654.900000,227.890000,225.870000,259,11.500000,
32245,8670.000000,227.740000,225.720000,259,11.600000,
32172,8685.100000,227.590000,225.560000,259,11.600000,
32094,8701.300000,227.440000,225.410000,259,11.600000,
32022,8716.300000,227.310000,225.280000,258,11.700000,
31946,8732.100000,227.170000,225.110000,258,11.700000,
31869,8748.100000,227.040000,224.960000,258,11.800000,
31784,8765.900000,226.900000,224.790000,258,11.800000,
31712,8781.000000,226.750000,224.610000,258,11.800000,
31639,8796.300000,226.630000,224.460000,258,11.800000,
31564,8811.900000,226.510000,224.320000,257,11.900000,
31487,8828.200000,226.340000,224.130000,257,11.900000,
31410,8844.400000,226.220000,223.990000,256,11.900000,
31334,8860.500000,226.050000,223.800000,256,11.900000,
31255,8877.100000,225.910000,223.630000,256,11.900000,
31177,8893.700000,225.790000,223.500000,255,11.900000,
31094,8911.300000,225.650000,223.350000,255,11.900000,
31016,8928.000000,225.550000,223.260000,254,11.900000,
30946,8942.700000,225.390000,223.120000,253,11.900000,
30864,8960.300000,225.220000,222.990000,253,11.900000,
30786,8977.000000,225.080000,222.900000,252,11.900000,
30711,8993.100000,224.900000,222.780000,252,12.000000,
30635,9009.300000,224.730000,222.690000,252,12.000000,
30557,9026.100000,224.570000,222.610000,251,12.100000,
30485,9041.500000,224.440000,222.540000,251,12.200000,
30407,9058.400000,224.280000,222.450000,251,12.300000,
30330,9075.200000,224.120000,222.360000,250,12.400000,
30255,9091.300000,223.960000,222.250000,250,12.600000,
30179,9107.800000,223.780000,222.110000,250,12.700000,
30093,9126.500000,223.670000,222.010000,250,12.800000,
30018,9142.800000,223.580000,221.920000,250,12.900000,
29945,9158.800000,223.440000,221.760000,250,13.000000,
29866,9176.200000,223.310000,221.590000,250,13.100000,
29792,9192.200000,223.200000,221.420000,250,13.200000,
29711,9210.000000,223.050000,221.220000,250,13.200000,
29638,9226.100000,222.960000,221.070000,250,13.200000,
29566,9242.000000,222.870000,220.940000,250,13.200000,
29490,9258.800000,222.740000,220.760000,251,13.200000,
29415,9275.300000,222.610000,220.580000,250,13.300000,
29339,9292.300000,222.460000,220.400000,250,13.300000,
29257,9310.400000,222.330000,220.240000,250,13.300000,
29181,9327.400000,222.200000,220.090000,250,13.400000,
29105,9344.300000,222.070000,219.950000,250,13.400000,
29030,9361.200000,221.950000,219.800000,250,13.500000,
28960,9376.800000,221.820000,219.680000,250,13.600000,
28886,9393.400000,221.630000,219.480000,250,13.600000,
28808,9411.000000,221.530000,219.400000,250,13.700000,
28736,9427.200000,221.380000,219.260000,249,13.700000,
28656,9445.300000,221.210000,219.110000,249,13.700000,
28585,9461.300000,221.050000,218.940000,249,13.700000,
28509,9478.500000,220.900000,218.820000,249,13.700000,
28443,9493.400000,220.740000,218.670000,249,13.700000,
28379,9508.000000,220.590000,218.540000,249,13.600000,
28298,9526.600000,220.430000,218.380000,249,13.600000,
28226,9542.800000,220.270000,218.210000,248,13.600000,
28151,9560.100000,220.100000,218.030000,248,13.500000,
28113,9568.700000,220.040000,218.120000,248,13.500000,
28016,9591.000000,219.840000,217.760000,248,13.500000,
27953,9605.500000,219.700000,217.630000,247,13.600000,
27886,9620.900000,219.560000,217.500000,247,13.600000,
27814,9637.600000,219.420000,217.350000,246,13.600000,
27750,9652.400000,219.300000,217.170000,246,13.600000,
27684,9667.700000,219.180000,216.970000,245,13.700000,
27622,9682.100000,219.100000,216.820000,245,13.800000,
27566,9695.100000,218.950000,216.590000,244,13.900000,
27507,9708.700000,218.820000,216.350000,244,13.900000,
27445,9723.300000,218.700000,216.070000,243,14.000000,
27384,9737.400000,218.580000,215.820000,243,14.100000,
27316,9753.500000,218.440000,215.500000,242,14.100000,
