numer_sta,date,nb_niv,
07761,20241207130324,857,
p_niv,altitude,t,td,dd,ff,
22527,11232.600000,217.950000,199.630000,291,24.400000,
22484,11244.700000,217.870000,199.360000,291,24.400000,
22439,11257.400000,217.780000,199.170000,291,24.400000,
22393,11270.400000,217.680000,198.890000,291,24.300000,
22346,11283.800000,217.540000,198.880000,291,24.300000,
22297,11297.800000,217.440000,198.720000,291,24.300000,
22256,11309.500000,217.400000,196.300000,291,24.200000,
22217,11320.700000,217.390000,197.240000,291,24.200000,
22178,11331.900000,217.380000,198.190000,292,24.200000,
22137,11343.800000,217.360000,198.480000,292,24.100000,
22093,11356.400000,217.320000,198.110000,292,24.100000,
22046,11369.900000,217.260000,197.970000,292,24.000000,
22003,11382.400000,217.240000,197.680000,292,24.000000,
21960,11394.700000,217.180000,197.510000,292,24.100000,
21916,11407.400000,217.140000,197.400000,292,24.100000,
21872,11420.300000,217.040000,197.410000,292,24.200000,
21828,11432.900000,216.980000,197.230000,292,24.200000,
21780,11447.000000,216.980000,196.950000,292,24.300000,
21731,11461.300000,217.000000,196.590000,292,24.500000,
21688,11473.900000,216.900000,196.140000,292,24.600000,
21649,11485.500000,216.850000,196.040000,292,24.700000,
21611,11496.400000,216.730000,196.100000,292,24.900000,
21572,11507.900000,216.650000,195.900000,292,25.100000,
21531,11520.000000,216.570000,195.440000,292,25.200000,
21491,11531.700000,216.500000,194.910000,292,25.500000,
21450,11543.900000,216.400000,194.520000,292,25.700000,
21410,11555.900000,216.340000,194.250000,292,25.900000,
21368,11568.300000,216.300000,194.000000,292,26.200000,
21346,11574.600000,216.260000,193.640000,292,26.300000,
21282,11593.700000,216.240000,193.320000,292,26.700000,
21237,11607.200000,216.300000,193.160000,293,26.900000,
21192,11620.500000,216.300000,192.730000,293,27.100000,
21152,11632.500000,216.260000,192.660000,293,27.200000,
21112,11644.400000,216.270000,192.160000,294,27.300000,
21067,11658.000000,216.300000,191.890000,294,27.400000,
21022,11671.500000,216.350000,192.070000,294,27.400000,
20977,11685.200000,216.450000,191.980000,294,27.400000,
20933,11698.500000,216.700000,191.940000,295,27.300000,
20891,11711.100000,217.010000,191.690000,295,27.200000,
20846,11724.700000,217.210000,191.730000,295,27.100000,
20801,11738.600000,217.190000,191.950000,295,26.900000,
20756,11752.400000,217.130000,191.810000,295,26.800000,
20714,11765.300000,217.180000,191.450000,295,26.600000,
20670,11778.600000,217.420000,191.120000,295,26.400000,
20625,11792.600000,217.710000,191.090000,294,26.300000,
20581,11806.100000,217.770000,191.650000,294,26.200000,
20540,11818.900000,217.750000,191.340000,294,26.200000,
20501,11831.100000,217.770000,190.920000,293,26.100000,
20459,11844.100000,217.790000,190.550000,293,26.100000,
20421,11856.000000,217.910000,190.300000,292,26.200000,
20381,11868.500000,217.990000,190.080000,291,26.200000,
20338,11881.900000,218.130000,190.380000,291,26.300000,
20296,11895.100000,218.170000,189.800000,290,26.400000,
20257,11907.500000,218.120000,189.350000,290,26.500000,
20214,11921.100000,218.120000,188.680000,289,26.600000,
20167,11936.000000,218.060000,189.290000,289,26.700000,
20121,11950.300000,218.000000,187.800000,288,26.800000,
20079,11963.900000,217.880000,187.080000,288,26.900000,
20038,11976.800000,217.800000,186.920000,287,26.900000,
19994,11990.900000,217.670000,186.820000,287,27.000000,
19946,12006.200000,217.610000,186.780000,286,27.000000,
19897,12021.900000,217.490000,186.700000,286,27.000000,
19855,12035.200000,217.370000,186.620000,285,27.000000,
19812,12048.900000,217.270000,186.550000,285,27.000000,
19768,12063.300000,217.190000,186.490000,284,27.000000,
19726,12076.800000,217.050000,186.400000,284,27.100000,
19684,12090.200000,216.980000,186.340000,283,27.200000,
