numer_sta,date,nb_niv,
07761,20241204124737,1281,
p_niv,altitude,t,td,dd,ff,
39772,7227.300000,239.430000,237.120000,276,17.400000,
39725,7235.600000,239.350000,237.050000,276,17.400000,
39679,7243.900000,239.270000,236.980000,275,17.400000,
39632,7252.200000,239.190000,236.910000,275,17.400000,
39585,7260.500000,239.120000,236.840000,275,17.500000,
39538,7268.800000,239.040000,236.770000,275,17.500000,
39491,7277.100000,238.960000,236.700000,274,17.500000,
39444,7285.400000,238.910000,236.660000,274,17.500000,
39397,7293.700000,238.870000,236.640000,274,17.600000,
39359,7300.400000,238.800000,236.590000,274,17.600000,
39312,7308.900000,238.730000,236.560000,274,17.600000,
39263,7317.500000,238.660000,236.520000,273,17.600000,
39215,7326.000000,238.590000,236.490000,273,17.600000,
39169,7334.200000,238.510000,236.460000,273,17.600000,
39126,7341.900000,238.450000,236.460000,273,17.700000,
39083,7349.600000,238.390000,236.450000,273,17.700000,
39035,7358.100000,238.290000,236.400000,273,17.700000,
38990,7366.200000,238.270000,236.400000,273,17.700000,
38941,7375.000000,238.170000,236.330000,272,17.700000,
38891,7384.000000,238.150000,236.330000,272,17.700000,
38844,7392.400000,238.080000,236.290000,272,17.700000,
38796,7401.100000,238.000000,236.270000,272,17.700000,
38753,7408.700000,237.940000,236.250000,272,17.700000,
38707,7417.100000,237.830000,236.180000,272,17.800000,
38657,7426.000000,237.780000,236.150000,271,17.800000,
38612,7434.000000,237.710000,236.100000,271,17.800000,
38569,7441.900000,237.640000,236.040000,271,17.900000,
38519,7451.000000,237.540000,235.930000,270,17.900000,
38470,7459.700000,237.460000,235.830000,270,17.900000,
38429,7467.200000,237.390000,235.710000,270,18.000000,
38384,7475.300000,237.320000,235.580000,270,18.000000,
38329,7485.300000,237.240000,235.440000,270,18.000000,
38281,7494.000000,237.190000,235.330000,270,18.100000,
38237,7502.000000,237.090000,235.160000,270,18.100000,
38194,7509.700000,236.990000,235.010000,270,18.100000,
38147,7518.200000,236.920000,234.890000,270,18.100000,
38091,7528.400000,236.870000,234.810000,270,18.200000,
38043,7537.300000,236.770000,234.670000,269,18.200000,
37994,7546.200000,236.720000,234.590000,269,18.200000,
37951,7554.100000,236.650000,234.500000,269,18.200000,
37905,7562.500000,236.570000,234.450000,269,18.300000,
37852,7572.100000,236.500000,234.380000,269,18.300000,
37801,7581.400000,236.420000,234.320000,268,18.400000,
37749,7591.000000,236.340000,234.250000,268,18.500000,
37701,7599.800000,236.240000,234.150000,268,18.500000,
37661,7607.000000,236.190000,234.090000,267,18.500000,
37621,7614.400000,236.120000,234.000000,267,18.600000,
37575,7622.900000,236.070000,233.910000,267,18.600000,
37531,7631.000000,235.990000,233.780000,267,18.600000,
37485,7639.400000,235.970000,233.700000,266,18.700000,
37437,7648.400000,235.890000,233.580000,266,18.700000,
37389,7657.100000,235.790000,233.430000,266,18.700000,
37337,7666.800000,235.740000,233.300000,266,18.800000,
37287,7676.100000,235.690000,233.200000,265,18.800000,
37243,7684.200000,235.580000,233.060000,265,18.900000,
37197,7692.800000,235.510000,232.950000,265,18.900000,
37153,7700.900000,235.410000,232.830000,264,18.900000,
37113,7708.300000,235.380000,232.810000,264,19.000000,
37065,7717.100000,235.280000,232.700000,264,19.100000,
37023,7724.900000,235.230000,232.640000,264,19.100000,
36985,7732.000000,235.150000,232.550000,264,19.200000,
36939,7740.700000,235.050000,232.440000,264,19.300000,
36896,7748.700000,234.970000,232.370000,263,19.300000,
36850,7757.300000,234.890000,232.300000,263,19.400000,
36802,7766.100000,234.810000,232.240000,263,19.400000,
36761,7773.800000,234.710000,232.160000,263,19.500000,
36727,7780.200000,234.630000,232.090000,263,19.500000,
36684,7788.300000,234.550000,232.010000,263,19.600000,
36640,7796.600000,234.480000,231.930000,263,19.600000,
36600,7804.100000,234.450000,231.920000,263,19.600000,
36556,7812.300000,234.350000,231.860000,263,19.700000,
36505,7821.800000,234.240000,231.770000,263,19.700000,
36453,7831.600000,234.190000,231.710000,263,19.700000,
36396,7842.300000,234.110000,231.610000,263,19.700000,
36351,7850.800000,234.000000,231.490000,263,19.800000,
36298,7860.800000,233.930000,231.390000,263,19.800000,
36247,7870.400000,233.850000,231.310000,263,19.800000,
36208,7877.900000,233.830000,231.330000,263,19.900000,
36166,7885.800000,233.690000,231.250000,263,19.900000,
36117,7895.000000,233.610000,231.220000,262,19.900000,
36070,7904.000000,233.590000,231.250000,262,20.000000,
36025,7912.600000,233.480000,231.200000,262,20.000000,
35976,7921.700000,233.370000,231.160000,262,20.000000,
35930,7930.600000,233.290000,231.150000,262,20.100000,
35888,7938.400000,233.240000,231.160000,261,20.100000,
35837,7948.300000,233.130000,231.100000,261,20.100000,
35799,7955.500000,233.100000,231.120000,261,20.100000,
35752,7964.400000,233.000000,231.070000,261,20.100000,
35715,7971.400000,232.930000,231.040000,261,20.100000,
35672,7979.800000,232.860000,231.020000,260,20.000000,
35622,7989.200000,232.780000,230.960000,260,20.000000,
35576,7998.200000,232.670000,230.870000,260,20.000000,
35529,8007.200000,232.620000,230.830000,260,20.000000,
35478,8016.900000,232.530000,230.740000,260,20.000000,
35434,8025.300000,232.420000,230.610000,260,19.900000,
35390,8033.700000,232.370000,230.540000,260,19.900000,
35350,8041.500000,232.310000,230.460000,260,19.700000,
35301,8050.900000,232.200000,230.310000,260,19.600000,
35255,8059.700000,232.120000,230.220000,260,19.500000,
35214,8067.600000,232.070000,230.160000,260,19.400000,
35175,8075.200000,231.980000,230.060000,260,19.300000,
35125,8084.800000,231.900000,229.990000,260,19.200000,
35078,8093.900000,231.820000,229.920000,260,19.100000,
35042,8101.000000,231.710000,229.830000,260,19.000000,
35005,8108.000000,231.620000,229.750000,260,19.000000,
34967,8115.400000,231.540000,229.680000,260,18.900000,
34927,8123.200000,231.450000,229.590000,260,18.800000,
34875,8133.300000,231.370000,229.530000,260,18.800000,
34833,8141.400000,231.290000,229.490000,260,18.700000,
34790,8149.900000,231.200000,229.430000,260,18.700000,
34747,8158.100000,231.120000,229.380000,260,18.700000,
34696,8168.100000,230.990000,229.270000,260,18.600000,
34642,8178.700000,230.870000,229.170000,260,18.600000,
34595,8187.800000,230.820000,229.140000,260,18.500000,
34548,8197.000000,230.730000,229.090000,260,18.400000,
34507,8205.100000,230.650000,229.040000,260,18.400000,
34468,8212.600000,230.560000,228.970000,260,18.400000,
34420,8222.100000,230.480000,228.920000,261,18.400000,
34376,8230.700000,230.420000,228.890000,261,18.500000,
34334,8238.800000,230.340000,228.840000,261,18.600000,
34291,8247.300000,230.250000,228.790000,261,18.700000,
34248,8255.900000,230.190000,228.790000,261,18.800000,
34206,8264.100000,230.080000,228.720000,261,19.000000,
34161,8273.000000,230.000000,228.690000,261,19.100000,
34118,8281.500000,229.920000,228.650000,261,19.200000,
34079,8289.100000,229.810000,228.570000,261,19.300000,
34035,8297.900000,229.750000,228.540000,262,19.400000,
33988,8307.200000,229.670000,228.470000,262,19.500000,
33942,8316.200000,229.590000,228.400000,262,19.600000,
33898,8324.900000,229.530000,228.350000,263,19.600000,
33856,8333.300000,229.420000,228.250000,263,19.700000,
33811,8342.300000,229.340000,228.180000,264,19.700000,
33763,8351.700000,229.260000,228.080000,264,19.800000,
33717,8360.800000,229.180000,227.960000,265,19.800000,
33672,8369.800000,229.070000,227.810000,265,19.900000,
33624,8379.500000,228.990000,227.670000,266,19.900000,
33581,8387.900000,228.910000,227.530000,267,20.000000,
33539,8396.400000,228.860000,227.420000,267,20.000000,
33494,8405.300000,228.780000,227.280000,268,20.000000,
33451,8414.000000,228.700000,227.130000,268,20.000000,
