numer_sta,date,nb_niv,
07761,20241206005637,587,
p_niv,altitude,t,td,dd,ff,
37608,7710.200000,240.590000,236.360000,4,31.700000,
37522,7726.300000,240.460000,236.240000,4,31.800000,
37442,7741.400000,240.330000,236.070000,4,31.800000,
37361,7756.500000,240.200000,235.910000,4,31.800000,
37280,7771.800000,240.060000,235.780000,4,31.900000,
37204,7786.100000,239.940000,235.630000,4,32.000000,
37127,7800.800000,239.840000,235.540000,3,32.000000,
37048,7815.600000,239.680000,235.400000,3,32.100000,
36966,7831.100000,239.560000,235.300000,3,32.200000,
36888,7846.000000,239.390000,235.130000,3,32.300000,
36809,7861.000000,239.240000,234.960000,3,32.400000,
36718,7878.500000,239.120000,234.790000,3,32.500000,
36647,7891.900000,238.960000,234.550000,3,32.600000,
36547,7911.000000,238.810000,234.280000,3,32.800000,
36459,7927.900000,238.640000,233.940000,3,32.900000,
36367,7945.600000,238.540000,233.680000,3,32.900000,
36279,7962.400000,238.370000,233.400000,3,33.000000,
36198,7978.000000,238.230000,233.160000,3,33.000000,
36113,7994.400000,238.080000,232.900000,3,33.100000,
36035,8009.500000,237.940000,232.600000,3,33.100000,
35956,8024.800000,237.860000,232.390000,2,33.100000,
35868,8041.800000,237.740000,232.190000,2,33.100000,
35780,8059.000000,237.640000,232.000000,2,33.100000,
35696,8075.300000,237.470000,231.790000,2,33.100000,
35611,8091.800000,237.370000,231.640000,2,33.000000,
35531,8107.500000,237.220000,231.420000,1,32.900000,
35455,8122.400000,237.070000,231.200000,1,32.800000,
35375,8138.000000,236.950000,231.020000,1,32.700000,
35290,8154.600000,236.820000,230.850000,1,32.700000,
35215,8169.500000,236.720000,230.730000,0,32.600000,
35124,8187.300000,236.650000,230.690000,0,32.600000,
35040,8204.000000,236.570000,230.700000,0,32.600000,
34966,8218.600000,236.570000,230.840000,360,32.600000,
34887,8234.300000,236.490000,230.940000,360,32.600000,
34797,8252.200000,236.340000,231.010000,359,32.700000,
34691,8273.200000,236.170000,231.090000,359,32.700000,
34584,8294.700000,235.990000,231.180000,359,32.800000,
34487,8314.000000,235.780000,231.230000,359,33.000000,
34389,8333.700000,235.610000,231.180000,359,33.100000,
34278,8356.000000,235.400000,231.040000,358,33.200000,
34177,8376.400000,235.220000,230.840000,358,33.400000,
34079,8396.100000,235.010000,230.590000,358,33.500000,
33964,8419.300000,234.800000,230.310000,358,33.600000,
33864,8439.500000,234.620000,230.080000,358,33.700000,
33764,8460.000000,234.410000,229.800000,358,33.900000,
33646,8483.900000,234.200000,229.480000,358,34.000000,
33523,8509.000000,234.000000,229.100000,357,34.100000,
33405,8533.200000,233.800000,228.650000,358,34.200000,
33287,8557.400000,233.620000,228.300000,358,34.400000,
33179,8579.500000,233.460000,227.950000,358,34.500000,
33080,8600.100000,233.300000,227.560000,358,34.700000,
32981,8620.600000,233.190000,227.280000,358,34.900000,
32886,8640.100000,233.030000,227.080000,358,35.200000,
32784,8661.400000,232.950000,227.010000,358,35.500000,
32686,8681.900000,232.810000,226.910000,358,35.800000,
32584,8703.100000,232.640000,226.770000,358,36.200000,
32487,8723.400000,232.530000,226.790000,358,36.600000,
32374,8747.200000,232.420000,226.820000,358,37.100000,
32253,8772.600000,232.190000,226.740000,358,37.500000,
32140,8796.300000,231.950000,226.690000,358,37.900000,
32024,8820.900000,231.700000,226.630000,358,38.400000,
31911,8844.900000,231.460000,226.590000,358,38.700000,
31802,8868.200000,231.310000,226.610000,359,39.000000,
31686,8892.900000,231.090000,226.600000,359,39.300000,
31562,8919.500000,230.890000,226.580000,359,39.600000,
31432,8947.300000,230.610000,226.490000,359,39.800000,
31302,8975.300000,230.390000,226.410000,359,40.000000,
31176,9002.400000,230.120000,226.290000,359,40.100000,
31054,9028.900000,229.870000,226.180000,359,40.200000,
30945,9052.600000,229.600000,226.000000,359,40.300000,
30848,9073.600000,229.420000,225.880000,359,40.500000,
30744,9096.300000,229.150000,225.670000,359,40.600000,
30648,9117.200000,228.970000,225.520000,359,40.700000,
30544,9140.000000,228.730000,225.320000,359,40.900000,
30439,9163.000000,228.550000,225.160000,359,41.100000,
30340,9184.900000,228.370000,225.070000,359,41.300000,
30235,9208.100000,228.140000,224.940000,359,41.400000,
30130,9231.300000,227.910000,224.820000,360,41.500000,
30021,9255.400000,227.690000,224.680000,360,41.700000,
29916,9278.800000,227.460000,224.500000,360,41.700000,
29808,9302.900000,227.240000,224.310000,360,41.800000,
29699,9327.300000,227.020000,224.100000,360,41.900000,
29593,9350.900000,226.780000,223.850000,0,42.100000,
29483,9375.600000,226.530000,223.570000,0,42.300000,
29368,9401.500000,226.290000,223.260000,0,42.600000,
29242,9430.100000,226.030000,222.880000,0,43.000000,
29128,9455.900000,225.770000,222.510000,0,43.400000,
29013,9482.000000,225.530000,222.180000,0,43.900000,
28899,9508.100000,225.270000,221.800000,0,44.300000,
28776,9536.200000,225.010000,221.400000,360,44.500000,
28659,9563.000000,224.780000,221.100000,360,44.700000,
28553,9587.300000,224.530000,220.790000,360,44.800000,
28439,9613.800000,224.370000,220.600000,360,44.900000,
28344,9635.600000,224.160000,220.470000,359,44.800000,
28240,9659.800000,223.980000,220.390000,359,44.800000,
28138,9683.500000,223.750000,220.310000,359,44.800000,
28030,9708.700000,223.550000,220.290000,359,44.800000,
27923,9733.700000,223.260000,220.220000,359,44.800000,
27808,9760.700000,223.040000,220.200000,359,44.800000,
