numer_sta,date,nb_niv,
07761,20241130231535,3235,
p_niv,altitude,t,td,dd,ff,
102510,5.000000,281.650000,277.670000,67,4.700000,
102360,17.000000,282.590000,278.700000,68,4.700000,
102220,28.000000,283.150000,279.350000,68,4.700000,
102100,38.000000,283.590000,279.900000,70,4.700000,
101960,50.000000,283.660000,279.630000,71,4.800000,
101820,61.000000,283.570000,279.480000,73,4.800000,
101680,73.000000,283.520000,279.210000,74,4.700000,
101540,84.000000,283.620000,278.920000,75,4.600000,
101380,98.000000,283.660000,278.700000,76,4.600000,
101230,110.000000,283.800000,278.560000,77,4.500000,
101070,123.000000,283.950000,278.350000,79,4.400000,
100910,136.000000,284.580000,278.630000,81,4.300000,
100780,147.000000,285.080000,278.760000,82,4.200000,
100660,157.000000,285.150000,278.600000,84,4.000000,
100530,168.000000,285.220000,278.430000,86,3.700000,
100420,177.000000,285.270000,278.260000,87,3.400000,
100290,188.000000,285.460000,278.320000,87,3.100000,
100160,199.000000,285.620000,278.440000,88,2.800000,
100000,212.000000,285.600000,278.490000,90,2.400000,
99860,224.000000,285.790000,278.720000,91,2.100000,
99710,236.000000,285.650000,278.540000,90,1.800000,
99590,246.000000,285.580000,278.450000,92,1.500000,
99460,258.000000,285.480000,278.380000,94,1.200000,
99320,269.000000,285.460000,278.410000,95,1.000000,
99170,282.000000,285.410000,278.430000,94,0.800000,
99040,293.000000,285.340000,278.430000,99,0.600000,
98960,300.000000,285.240000,278.420000,113,0.500000,
98750,317.000000,285.170000,278.450000,118,0.300000,
98610,329.000000,285.150000,278.510000,112,0.200000,
98470,341.000000,285.030000,278.460000,137,0.100000,
98330,353.000000,284.960000,278.450000,238,0.100000,
98210,363.000000,284.820000,278.390000,296,0.100000,
98080,374.000000,284.740000,278.390000,336,0.100000,
97930,387.000000,284.650000,278.380000,327,0.000000,
97810,397.000000,284.510000,278.320000,303,0.100000,
97680,408.000000,284.440000,278.340000,321,0.100000,
97570,418.000000,284.320000,278.310000,325,0.100000,
97420,431.000000,284.230000,278.300000,281,0.100000,
97280,443.000000,284.110000,278.280000,257,0.200000,
97150,454.000000,284.010000,278.280000,248,0.200000,
97020,465.000000,283.900000,278.250000,235,0.300000,
96890,477.000000,283.780000,278.190000,233,0.500000,
96760,488.000000,283.730000,278.150000,238,0.700000,
96620,499.000000,283.660000,278.100000,243,0.800000,
96510,509.000000,283.590000,278.080000,244,0.800000,
96370,521.000000,283.500000,278.060000,242,0.900000,
96220,534.000000,283.410000,278.050000,241,1.000000,
96070,547.000000,283.310000,278.000000,242,1.000000,
95940,558.000000,283.270000,277.960000,241,1.100000,
95810,569.000000,283.170000,277.880000,241,1.300000,
95680,581.000000,283.080000,277.880000,243,1.500000,
95560,591.000000,282.960000,277.860000,244,1.600000,
95410,605.000000,282.840000,277.790000,243,1.700000,
95260,617.000000,282.750000,277.750000,244,1.900000,
95120,630.000000,282.640000,277.730000,246,2.000000,
95000,640.000000,282.500000,277.620000,248,2.100000,
94830,655.000000,282.400000,277.510000,249,2.200000,
94700,666.000000,282.330000,277.450000,251,2.300000,
94570,678.000000,282.190000,277.350000,252,2.300000,
94440,689.000000,282.070000,277.250000,252,2.400000,
94320,700.000000,282.030000,277.210000,251,2.500000,
94210,709.000000,281.960000,277.190000,252,2.600000,
94140,715.000000,281.860000,277.150000,253,2.700000,
93960,732.000000,281.750000,277.120000,254,2.700000,
93840,742.000000,281.630000,277.110000,254,2.800000,
93740,751.000000,281.510000,277.030000,256,2.800000,
93620,761.000000,281.470000,276.970000,256,2.800000,
93500,772.000000,281.400000,276.850000,257,2.800000,
93390,782.000000,281.300000,276.650000,258,2.700000,
93260,793.000000,281.210000,276.480000,259,2.600000,
93110,807.000000,281.120000,276.390000,260,2.600000,
92980,818.000000,281.030000,276.320000,262,2.400000,
92880,827.000000,280.910000,276.200000,262,2.300000,
92750,838.000000,280.840000,276.070000,264,2.300000,
92600,851.000000,280.700000,275.840000,267,2.200000,
92500,861.000000,280.630000,275.430000,270,2.100000,
92330,875.000000,280.660000,274.970000,273,2.000000,
92190,888.000000,280.590000,274.650000,277,2.000000,
92060,900.000000,280.520000,274.440000,283,1.900000,
91900,914.000000,280.360000,274.160000,288,1.800000,
91730,929.000000,280.290000,274.010000,291,1.800000,
91570,943.000000,280.150000,273.890000,294,1.800000,
91460,953.000000,280.040000,273.800000,295,1.700000,
91320,966.000000,279.900000,273.710000,294,1.600000,
91190,978.000000,279.830000,273.690000,294,1.500000,
91050,990.000000,279.670000,273.600000,294,1.500000,
90920,1002.000000,279.560000,273.560000,294,1.500000,
90800,1014.000000,279.490000,273.520000,294,1.500000,
90660,1025.000000,279.370000,273.420000,294,1.600000,
90560,1034.000000,279.280000,273.330000,293,1.600000,
90430,1047.000000,279.190000,273.300000,295,1.600000,
90300,1058.000000,279.050000,273.250000,297,1.500000,
90170,1070.000000,278.990000,273.220000,300,1.400000,
90000,1086.000000,278.870000,273.200000,302,1.300000,
89900,1095.000000,278.760000,273.160000,304,1.200000,
89780,1106.000000,278.650000,273.050000,305,1.200000,
89640,1119.000000,278.580000,272.940000,303,1.100000,
89520,1129.000000,278.490000,272.870000,302,1.000000,
89420,1139.000000,278.400000,272.820000,300,1.000000,
89320,1147.000000,278.280000,272.810000,300,1.000000,
89190,1160.000000,278.190000,272.860000,302,1.100000,
89080,1169.000000,278.100000,273.020000,303,1.100000,
88960,1181.000000,277.960000,273.240000,301,1.100000,
88850,1191.000000,277.850000,273.360000,302,1.100000,
88730,1202.000000,277.760000,273.360000,303,1.100000,
88600,1213.000000,277.640000,273.360000,304,1.100000,
88490,1223.000000,277.550000,273.310000,306,1.100000,
88370,1235.000000,277.440000,273.260000,309,1.100000,
88240,1247.000000,277.330000,273.170000,313,1.100000,
88150,1255.000000,277.230000,273.370000,315,1.200000,
88050,1264.000000,277.120000,273.390000,314,1.200000,
87910,1278.000000,277.030000,273.620000,314,1.400000,
87760,1291.000000,276.920000,273.980000,315,1.500000,
87630,1303.000000,276.780000,273.990000,316,1.500000,
87490,1316.000000,276.710000,274.020000,314,1.600000,
87370,1327.000000,276.600000,273.990000,316,1.800000,
87210,1342.000000,276.510000,273.990000,319,1.800000,
87060,1357.000000,276.370000,273.890000,320,1.900000,
86930,1368.000000,276.280000,273.740000,320,2.100000,
86800,1380.000000,276.240000,273.700000,322,2.200000,
86660,1394.000000,276.120000,273.600000,323,2.400000,
86520,1406.000000,275.960000,273.560000,324,2.600000,
86400,1417.000000,275.870000,273.530000,325,2.700000,
86300,1427.000000,275.740000,273.510000,327,2.800000,
86180,1439.000000,275.650000,273.520000,327,2.900000,
86020,1453.000000,275.540000,273.420000,327,3.000000,
85860,1468.000000,275.420000,273.310000,329,3.100000,
85700,1483.000000,275.330000,273.060000,329,3.100000,
85590,1494.000000,275.310000,272.830000,328,3.300000,
85460,1506.000000,275.200000,272.520000,329,3.400000,
85320,1520.000000,275.100000,272.410000,331,3.600000,
85210,1530.000000,274.990000,272.350000,332,3.700000,
85000,1550.000000,274.880000,272.270000,333,3.800000,
84920,1557.000000,274.770000,272.210000,335,4.000000,
84820,1567.000000,274.630000,272.130000,337,4.100000,
84690,1579.000000,274.520000,272.070000,337,4.100000,
84560,1591.000000,274.430000,272.060000,338,4.100000,
84430,1604.000000,274.320000,272.040000,339,4.200000,
84340,1613.000000,274.200000,272.050000,340,4.200000,
84250,1622.000000,274.110000,272.000000,339,4.300000,
84130,1633.000000,274.020000,272.030000,339,4.400000,
84000,1645.000000,273.930000,272.130000,339,4.500000,
83870,1657.000000,273.800000,272.090000,339,4.600000,
83740,1670.000000,273.690000,272.110000,340,4.700000,
83610,1682.000000,273.600000,272.110000,340,4.800000,
83520,1691.000000,273.480000,272.100000,342,4.900000,
83390,1704.000000,273.390000,272.120000,343,5.000000,
83320,1710.000000,273.300000,272.030000,344,5.100000,
83120,1730.000000,273.240000,271.690000,346,5.000000,
82980,1743.000000,273.330000,270.770000,346,5.000000,
82850,1756.000000,273.300000,270.460000,346,5.100000,
82740,1767.000000,273.260000,270.180000,347,5.200000,
82630,1777.000000,273.370000,269.620000,348,5.200000,
82510,1789.000000,273.600000,268.560000,348,5.200000,
82380,1802.000000,273.640000,267.690000,349,5.200000,
82230,1816.000000,273.620000,266.470000,351,5.200000,
82090,1830.000000,273.530000,265.780000,353,5.200000,
81970,1841.000000,273.460000,265.350000,355,5.100000,
81850,1853.000000,273.390000,264.960000,357,5.100000,
81760,1862.000000,273.330000,264.180000,359,5.100000,
81670,1871.000000,273.350000,263.530000,0,5.000000,
81530,1884.000000,273.420000,262.970000,2,4.900000,
81390,1898.000000,273.510000,261.480000,3,4.800000,
81240,1913.000000,273.480000,260.340000,3,4.700000,
81110,1926.000000,273.460000,258.370000,4,4.700000,
80990,1938.000000,273.390000,258.090000,5,4.700000,
80870,1949.000000,273.330000,258.080000,7,4.600000,
80760,1961.000000,273.210000,257.880000,9,4.600000,
80650,1971.000000,273.170000,257.810000,11,4.600000,
80520,1984.000000,273.080000,257.690000,13,4.600000,
80370,1999.000000,272.940000,257.520000,15,4.600000,
80310,2005.000000,272.810000,257.320000,16,4.700000,
80110,2025.000000,272.700000,257.270000,18,4.900000,
80000,2036.000000,272.540000,257.180000,20,5.200000,
79790,2057.000000,272.430000,257.120000,22,5.500000,
79700,2066.000000,272.360000,257.100000,22,5.800000,
79600,2076.000000,272.270000,257.090000,24,6.100000,
79480,2088.000000,272.160000,257.050000,25,6.400000,
79360,2100.000000,272.090000,257.040000,24,6.700000,
79210,2115.000000,272.310000,256.490000,25,7.100000,
79060,2131.000000,272.450000,255.710000,25,7.400000,
78920,2145.000000,272.900000,254.340000,26,7.700000,
78790,2158.000000,273.060000,253.190000,26,8.000000,
78670,2170.000000,273.280000,251.720000,26,8.300000,
78560,2181.000000,273.440000,250.360000,25,8.500000,
78480,2189.000000,273.510000,249.330000,25,8.700000,
78340,2204.000000,273.530000,249.490000,24,9.000000,
78210,2217.000000,273.530000,250.030000,24,9.100000,
78110,2227.000000,273.440000,249.940000,24,9.100000,
78010,2237.000000,273.420000,249.910000,24,9.100000,
77910,2248.000000,273.420000,249.840000,23,9.100000,
77810,2258.000000,273.420000,249.690000,23,9.100000,
77740,2265.000000,273.440000,249.600000,23,9.100000,
77650,2275.000000,273.460000,249.420000,22,9.100000,
77520,2288.000000,273.390000,249.240000,22,9.200000,
77400,2301.000000,273.440000,249.000000,21,9.400000,
77290,2312.000000,273.530000,248.800000,21,9.500000,
77170,2324.000000,273.480000,248.670000,20,9.600000,
77090,2333.000000,273.420000,248.520000,19,9.900000,
76980,2343.000000,273.390000,248.260000,19,10.200000,
76860,2357.000000,273.280000,248.020000,18,10.400000,
76720,2371.000000,273.170000,247.740000,18,10.700000,
76620,2382.000000,273.100000,247.560000,17,11.000000,
76510,2393.000000,273.010000,247.520000,17,11.300000,
76380,2407.000000,272.920000,247.500000,18,11.500000,
76280,2417.000000,272.810000,247.600000,17,11.700000,
76180,2427.000000,272.760000,247.900000,17,12.000000,
76070,2439.000000,272.850000,248.470000,16,12.200000,
75960,2450.000000,272.790000,248.570000,16,12.400000,
75870,2460.000000,272.760000,248.470000,16,12.600000,
75780,2470.000000,272.790000,246.690000,15,12.800000,
75690,2479.000000,272.760000,246.550000,15,13.100000,
75560,2493.000000,272.760000,248.310000,16,13.300000,
75430,2506.000000,272.740000,248.530000,16,13.400000,
75350,2515.000000,272.740000,247.880000,15,13.600000,
75280,2523.000000,272.790000,248.960000,15,13.900000,
75160,2535.000000,272.740000,249.470000,16,13.900000,
75040,2548.000000,272.670000,249.420000,16,14.000000,
74930,2559.000000,272.630000,249.740000,16,14.000000,
74840,2569.000000,272.610000,250.190000,16,14.100000,
74730,2581.000000,272.540000,250.200000,16,14.200000,
74660,2589.000000,272.490000,250.070000,16,14.200000,
74560,2599.000000,272.450000,250.050000,16,14.300000,
74440,2611.000000,272.450000,250.290000,16,14.400000,
74310,2626.000000,272.360000,250.170000,16,14.600000,
74200,2638.000000,272.290000,250.080000,16,14.700000,
74080,2650.000000,272.290000,250.050000,16,14.800000,
74010,2658.000000,272.270000,250.240000,16,14.900000,
73910,2669.000000,272.250000,249.980000,15,14.900000,
73760,2684.000000,272.160000,250.560000,15,15.000000,
73610,2701.000000,272.070000,251.240000,15,15.000000,
73490,2714.000000,272.020000,251.080000,15,15.000000,
73390,2725.000000,271.950000,251.080000,14,14.900000,
73290,2736.000000,271.890000,250.950000,14,14.800000,
73200,2746.000000,271.930000,250.090000,13,14.800000,
73100,2757.000000,271.980000,249.470000,12,14.700000,
72990,2768.000000,271.980000,248.690000,12,14.700000,
72880,2780.000000,271.950000,247.830000,11,14.600000,
72770,2792.000000,271.860000,247.610000,11,14.500000,
72670,2803.000000,271.750000,247.450000,10,14.400000,
72570,2815.000000,271.640000,247.330000,10,14.200000,
72450,2827.000000,271.590000,247.290000,9,14.200000,
72370,2837.000000,271.500000,247.190000,9,14.100000,
72280,2846.000000,271.480000,247.000000,8,14.100000,
72190,2856.000000,271.440000,246.890000,8,14.100000,
72090,2867.000000,271.350000,246.840000,9,14.000000,
71980,2880.000000,271.230000,246.660000,9,14.000000,
71870,2892.000000,271.140000,246.510000,9,14.000000,
71770,2903.000000,271.190000,245.670000,9,14.000000,
71670,2913.000000,271.230000,244.740000,10,14.100000,
71610,2921.000000,271.350000,243.360000,11,14.200000,
71500,2932.000000,271.460000,242.460000,11,14.300000,
71410,2943.000000,271.410000,242.100000,13,14.400000,
71300,2955.000000,271.370000,241.640000,13,14.600000,
71190,2967.000000,271.260000,241.320000,15,14.800000,
71080,2979.000000,271.140000,241.060000,16,15.000000,
70960,2993.000000,271.050000,240.820000,17,15.200000,
70850,3005.000000,271.030000,240.670000,18,15.500000,
70750,3016.000000,270.990000,240.600000,19,15.800000,
70680,3024.000000,270.920000,240.540000,20,16.100000,
70590,3034.000000,270.960000,240.660000,21,16.300000,
70480,3046.000000,270.900000,240.610000,21,16.500000,
70390,3057.000000,270.940000,241.110000,22,16.700000,
70300,3067.000000,270.960000,241.720000,23,16.900000,
70190,3080.000000,270.920000,241.960000,23,17.000000,
70090,3090.000000,270.870000,242.110000,24,17.100000,
70000,3101.000000,270.830000,242.240000,24,17.300000,
69910,3111.000000,270.870000,243.130000,24,17.400000,
69810,3123.000000,270.790000,243.570000,25,17.500000,
69680,3138.000000,270.760000,242.810000,26,17.500000,
69580,3148.000000,270.740000,242.370000,26,17.600000,
69500,3157.000000,270.670000,241.700000,26,17.700000,
69410,3167.000000,270.610000,241.540000,26,17.700000,
69310,3179.000000,270.560000,242.370000,26,17.700000,
69200,3191.000000,270.450000,242.970000,26,17.800000,
69090,3204.000000,270.400000,242.940000,26,17.900000,
68980,3217.000000,270.280000,242.890000,25,17.900000,
68840,3233.000000,270.200000,242.860000,24,17.800000,
68730,3246.000000,270.160000,242.530000,24,17.800000,
68610,3260.000000,270.110000,241.780000,23,17.600000,
68510,3272.000000,270.110000,241.040000,23,17.400000,
68440,3279.000000,270.130000,240.650000,22,17.300000,
68350,3290.000000,270.090000,240.420000,21,17.200000,
68270,3299.000000,269.950000,240.280000,21,17.200000,
68150,3313.000000,269.910000,240.100000,19,17.100000,
68040,3326.000000,269.890000,239.650000,17,17.100000,
67900,3342.000000,269.800000,239.300000,16,17.200000,
67810,3352.000000,269.800000,238.570000,14,17.300000,
67720,3363.000000,269.860000,237.870000,12,17.500000,
67620,3375.000000,269.930000,236.110000,11,17.600000,
67480,3391.000000,270.020000,235.110000,10,17.700000,
67350,3406.000000,270.110000,234.690000,9,17.900000,
67250,3418.000000,270.160000,234.160000,9,18.000000,
67140,3431.000000,270.180000,233.600000,8,18.000000,
67080,3438.000000,270.200000,233.460000,7,18.100000,
67030,3444.000000,270.250000,232.880000,7,18.300000,
66920,3456.000000,270.290000,232.770000,6,18.400000,
66820,3469.000000,270.270000,233.230000,6,18.600000,
66750,3476.000000,270.200000,233.290000,5,18.700000,
66660,3487.000000,270.220000,233.420000,5,18.900000,
66570,3498.000000,270.250000,233.100000,4,19.000000,
66420,3516.000000,270.220000,232.360000,4,19.200000,
66310,3529.000000,270.110000,231.910000,4,19.300000,
66210,3542.000000,270.110000,232.410000,5,19.400000,
66080,3557.000000,270.040000,231.450000,5,19.500000,
66000,3566.000000,269.980000,230.840000,5,19.600000,
65910,3578.000000,269.890000,230.780000,4,19.700000,
65810,3589.000000,269.820000,231.060000,4,19.700000,
