numer_sta,date,nb_niv,
07761,20241205010444,898,
p_niv,altitude,t,td,dd,ff,
24617,10284.700000,222.260000,191.700000,353,19.200000,
24570,10297.000000,222.200000,189.930000,352,19.300000,
24521,10310.100000,222.210000,190.590000,352,19.400000,
24471,10323.200000,222.210000,191.250000,352,19.500000,
24422,10336.300000,222.220000,191.910000,352,19.600000,
24373,10349.400000,222.210000,191.700000,352,19.600000,
24323,10362.700000,222.180000,191.680000,352,19.600000,
24273,10376.100000,222.240000,191.730000,352,19.700000,
24224,10389.300000,222.240000,191.520000,353,20.000000,
24175,10402.500000,222.260000,191.370000,353,20.300000,
24126,10415.500000,222.260000,191.180000,354,20.600000,
24077,10428.900000,222.330000,191.100000,353,21.000000,
24029,10441.900000,222.360000,191.310000,353,21.200000,
23981,10454.800000,222.380000,190.960000,352,21.300000,
23933,10467.800000,222.410000,191.020000,352,21.300000,
23885,10480.900000,222.390000,190.830000,352,21.200000,
23838,10493.700000,222.410000,190.690000,352,21.000000,
23790,10507.000000,222.430000,190.980000,352,20.900000,
23741,10520.200000,222.460000,190.690000,353,20.900000,
23693,10533.400000,222.460000,190.170000,353,21.000000,
23645,10546.800000,222.410000,190.080000,353,21.200000,
23598,10559.600000,222.330000,190.020000,353,21.400000,
23551,10572.700000,222.330000,190.170000,352,21.600000,
23504,10585.800000,222.290000,190.040000,352,21.800000,
23456,10598.800000,222.240000,189.960000,351,21.800000,
23411,10611.400000,222.240000,189.960000,350,21.900000,
23366,10624.000000,222.290000,189.990000,349,21.900000,
23317,10637.500000,222.220000,189.950000,349,21.800000,
23271,10650.500000,222.160000,189.900000,348,21.800000,
23225,10663.300000,222.070000,189.850000,348,21.800000,
23178,10676.600000,222.010000,189.800000,347,21.800000,
23129,10690.200000,221.940000,189.760000,347,21.900000,
23085,10702.700000,221.900000,189.730000,346,22.000000,
23035,10716.700000,221.870000,189.710000,345,22.100000,
22984,10731.200000,221.820000,189.670000,345,22.200000,
22936,10744.700000,221.770000,189.640000,344,22.300000,
