numer_sta,date,nb_niv,
07761,20241203115556,775,
p_niv,altitude,t,td,dd,ff,
62629,3907.000000,264.090000,241.720000,299,7.100000,
62504,3922.500000,263.960000,241.710000,300,7.200000,
62399,3935.500000,263.860000,241.260000,301,7.200000,
62295,3948.400000,263.810000,240.420000,302,7.300000,
62198,3960.400000,264.000000,236.780000,303,7.400000,
62075,3975.700000,263.970000,234.610000,305,7.500000,
61952,3991.000000,263.930000,232.440000,306,7.600000,
61797,4010.400000,263.900000,230.490000,308,7.700000,
61668,4026.500000,263.820000,229.510000,309,7.900000,
61554,4040.800000,263.810000,228.860000,310,8.100000,
61463,4052.200000,263.660000,228.690000,311,8.400000,
61364,4064.700000,263.520000,228.440000,312,8.600000,
61265,4077.200000,263.370000,228.190000,312,8.800000,
61173,4088.700000,263.260000,228.060000,313,9.000000,
61082,4100.200000,263.140000,227.930000,313,9.200000,
60990,4111.800000,263.060000,227.880000,313,9.400000,
60894,4123.900000,262.920000,228.230000,312,9.600000,
60795,4136.500000,262.800000,228.460000,312,9.700000,
60710,4147.200000,262.800000,228.040000,312,9.900000,
60629,4157.500000,262.750000,227.260000,311,10.000000,
60552,4167.300000,263.020000,226.140000,311,10.200000,
60470,4177.800000,262.960000,225.890000,311,10.300000,
60383,4188.800000,262.860000,225.920000,311,10.400000,
60293,4200.200000,262.790000,226.280000,310,10.500000,
60196,4212.600000,262.720000,226.860000,310,10.600000,
60130,4221.100000,262.840000,227.740000,310,10.600000,
60076,4228.000000,262.980000,228.380000,309,10.700000,
60006,4237.000000,262.890000,228.500000,309,10.700000,
59950,4244.100000,262.890000,228.650000,309,10.700000,
59896,4251.100000,262.790000,228.660000,309,10.700000,
59846,4257.600000,262.720000,228.670000,308,10.600000,
59741,4271.100000,262.620000,228.620000,308,10.600000,
59656,4282.000000,262.530000,228.640000,308,10.500000,
59562,4294.100000,262.430000,228.570000,308,10.500000,
59510,4300.800000,262.410000,228.620000,308,10.400000,
59456,4307.800000,262.310000,228.560000,307,10.400000,
59378,4317.900000,262.150000,228.500000,307,10.300000,
59293,4328.800000,262.080000,228.510000,307,10.300000,
59240,4335.700000,262.010000,228.550000,306,10.300000,
59148,4347.700000,261.870000,228.550000,306,10.200000,
59060,4359.100000,261.790000,228.670000,306,10.200000,
59002,4366.600000,261.720000,228.680000,305,10.200000,
58922,4377.000000,261.680000,228.790000,305,10.100000,
58850,4386.300000,261.560000,228.790000,304,10.100000,
58776,4396.000000,261.540000,229.040000,304,10.100000,
58709,4404.700000,261.440000,229.140000,304,10.200000,
58620,4416.300000,261.320000,229.320000,304,10.200000,
58540,4426.700000,261.230000,229.580000,304,10.200000,
58474,4435.400000,261.180000,229.650000,303,10.300000,
58400,4445.000000,261.140000,229.690000,303,10.300000,
58331,4454.000000,261.040000,229.850000,303,10.400000,
58264,4462.900000,260.950000,229.860000,303,10.500000,
58200,4471.300000,260.930000,230.010000,303,10.500000,
58114,4482.500000,260.790000,230.020000,303,10.600000,
58015,4495.600000,260.790000,230.100000,303,10.600000,
57915,4508.700000,260.740000,230.250000,302,10.700000,
