numer_sta,date,nb_niv,
07761,20250201130945,445,
p_niv,altitude,t,td,dd,ff,
33718,8357.400000,224.070000,221.670000,197,17.000000,
33586,8383.200000,223.840000,222.390000,197,16.900000,
33454,8408.900000,223.600000,223.120000,197,16.900000,
33388,8421.800000,223.480000,223.480000,197,16.900000,
33188,8461.300000,223.100000,223.100000,197,16.700000,
33053,8487.800000,222.850000,222.850000,197,16.600000,
32907,8516.600000,222.560000,222.560000,198,16.500000,
32762,8545.500000,222.270000,222.270000,198,16.400000,
32621,8573.600000,222.020000,222.020000,198,16.300000,
32476,8602.500000,221.710000,221.710000,198,16.100000,
32330,8631.600000,221.410000,221.410000,198,16.100000,
32165,8664.900000,221.120000,221.120000,198,16.000000,
32008,8696.500000,220.840000,220.840000,197,16.100000,
31928,8712.600000,220.680000,220.680000,197,16.100000,
31703,8758.400000,220.260000,220.040000,196,16.300000,
31558,8787.900000,219.970000,219.580000,196,16.600000,
31406,8819.000000,219.680000,219.180000,195,16.900000,
31235,8854.000000,219.380000,218.750000,195,17.300000,
31071,8887.800000,219.100000,218.330000,195,17.700000,
30915,8920.100000,218.770000,217.800000,195,18.000000,
30772,8949.700000,218.490000,217.320000,195,18.300000,
30620,8981.400000,218.180000,216.840000,196,18.600000,
30471,9012.600000,217.890000,216.360000,196,18.800000,
30320,9044.400000,217.590000,215.860000,196,18.900000,
30162,9077.500000,217.250000,215.320000,197,19.100000,
30015,9108.600000,216.960000,214.770000,197,19.100000,
29862,9141.100000,216.630000,214.200000,197,19.200000,
29702,9175.000000,216.340000,213.640000,198,19.100000,
29549,9207.700000,216.010000,213.040000,198,19.100000,
29478,9223.100000,215.900000,212.770000,198,19.000000,
29274,9266.800000,215.520000,211.800000,198,18.900000,
29123,9299.600000,215.230000,210.980000,198,18.800000,
28979,9330.700000,214.970000,210.070000,198,18.800000,
28832,9362.700000,214.700000,209.000000,197,18.900000,
28678,9396.200000,214.420000,207.700000,197,19.100000,
28518,9431.400000,214.120000,206.310000,198,19.300000,
28366,9464.800000,213.950000,204.960000,198,19.600000,
28218,9497.600000,214.190000,203.740000,199,19.700000,
28076,9529.400000,214.430000,202.430000,200,19.700000,
27929,9562.300000,214.810000,201.130000,202,19.400000,
27778,9596.400000,214.690000,199.410000,205,19.000000,
27703,9613.300000,214.770000,198.710000,206,18.700000,
27492,9661.500000,215.750000,197.480000,211,17.700000,
27364,9691.000000,216.130000,196.810000,214,17.000000,
27236,9720.600000,216.490000,196.260000,217,16.300000,
27098,9752.800000,216.840000,195.600000,220,15.700000,
26952,9787.100000,216.950000,194.900000,223,15.100000,
26809,9820.900000,217.260000,194.310000,226,14.700000,
26666,9855.000000,217.360000,193.450000,229,14.300000,
26510,9892.300000,217.320000,192.410000,231,13.800000,
26351,9930.400000,217.370000,191.400000,233,13.300000,
26203,9966.400000,217.240000,190.270000,233,12.700000,
26066,9999.700000,217.140000,189.180000,232,12.000000,
25926,10033.800000,217.190000,187.600000,230,11.400000,
25792,10066.900000,217.170000,186.970000,227,10.800000,
25723,10083.800000,217.190000,186.490000,226,10.600000,
25513,10136.000000,217.860000,186.950000,221,10.300000,
25384,10168.400000,218.430000,187.350000,218,10.400000,
25262,10199.300000,219.060000,187.780000,217,10.700000,
25129,10233.100000,219.200000,187.880000,216,11.100000,
24992,10268.200000,219.160000,187.850000,216,11.500000,
24854,10303.600000,219.060000,187.780000,216,12.000000,
24721,10338.100000,219.080000,187.790000,217,12.300000,
24583,10374.000000,219.220000,187.890000,217,12.500000,
24459,10406.500000,219.760000,188.260000,218,12.600000,
24331,10440.200000,219.900000,188.360000,218,12.600000,
24209,10472.500000,220.310000,188.640000,219,12.400000,
24088,10504.900000,220.540000,188.800000,219,12.200000,
23965,10537.900000,220.700000,188.910000,220,12.000000,
23837,10572.500000,220.680000,188.890000,220,11.800000,
23728,10602.200000,220.700000,188.910000,221,11.600000,
23603,10636.200000,220.600000,188.830000,221,11.500000,
23476,10671.200000,220.430000,188.720000,221,11.300000,
23341,10708.300000,220.120000,188.510000,221,11.200000,
23210,10744.500000,219.890000,188.350000,222,11.100000,
23080,10780.600000,220.220000,188.570000,223,10.900000,
22957,10815.200000,220.860000,189.020000,224,10.800000,
22837,10849.200000,221.170000,189.230000,226,10.600000,
22716,10883.300000,221.210000,189.260000,227,10.400000,
22598,10917.200000,221.130000,189.200000,228,10.200000,
22483,10950.200000,221.340000,189.340000,229,10.000000,
22362,10985.100000,221.530000,189.470000,229,9.800000,
22247,11018.600000,222.060000,189.840000,230,9.600000,
22134,11051.800000,221.910000,189.740000,229,9.500000,
22016,11086.300000,222.150000,189.900000,229,9.400000,
21912,11117.300000,222.100000,189.870000,228,9.400000,
21795,11151.900000,222.250000,189.970000,228,9.600000,
21681,11186.000000,222.410000,190.070000,228,9.900000,
21566,11220.700000,222.360000,190.040000,228,10.200000,
21447,11256.900000,222.290000,190.000000,230,10.600000,
21324,11294.300000,222.530000,190.160000,232,11.000000,
21208,11329.800000,223.110000,190.550000,234,11.300000,
21095,11364.700000,223.540000,190.850000,236,11.700000,
20983,11399.400000,223.450000,190.780000,237,12.000000,
20870,11434.800000,223.290000,190.670000,237,12.300000,
20760,11469.300000,223.080000,190.540000,237,12.600000,
20653,11503.000000,222.900000,190.410000,236,13.000000,
20548,11536.200000,222.680000,190.260000,234,13.500000,
20444,11569.500000,222.460000,190.110000,233,13.900000,
20337,11603.600000,222.340000,190.030000,232,14.400000,
20230,11638.000000,222.740000,190.300000,231,14.800000,
20122,11672.900000,223.660000,190.930000,230,15.100000,
20005,11710.900000,223.910000,191.100000,229,15.300000,
19893,11747.600000,223.730000,190.980000,229,15.300000,
19790,11781.800000,223.540000,190.850000,228,15.200000,
19689,11815.400000,223.310000,190.690000,228,14.800000,
19577,11852.600000,223.220000,190.630000,228,14.300000,
19464,11890.300000,223.090000,190.540000,230,13.600000,
19346,11930.100000,222.820000,190.350000,231,12.900000,
19236,11967.300000,222.550000,190.170000,234,12.300000,
19130,12003.300000,222.240000,189.960000,238,11.700000,
19018,12041.500000,222.090000,189.860000,241,11.200000,
18905,12080.300000,222.480000,190.120000,245,10.900000,
18785,12121.600000,222.630000,190.230000,248,10.800000,
18672,12161.000000,222.360000,190.050000,250,10.800000,
18558,12200.700000,222.360000,190.040000,252,10.800000,
18437,12243.300000,222.600000,190.210000,252,11.000000,
18321,12284.500000,222.580000,190.190000,251,11.200000,
18207,12325.000000,222.600000,190.210000,251,11.300000,
18096,12365.200000,222.510000,190.140000,250,11.400000,
17979,12407.100000,222.270000,189.980000,249,11.500000,
17866,12448.200000,222.000000,189.800000,249,11.400000,
17749,12490.900000,221.940000,189.750000,250,11.300000,
17639,12531.200000,221.830000,189.680000,250,11.200000,
