numer_sta,date,nb_niv,
07761,20241206111533,2873,
p_niv,altitude,t,td,dd,ff,
101730,5.000000,282.150000,280.600000,13,4.800000,
101570,18.000000,282.130000,281.110000,13,4.700000,
101470,26.000000,282.210000,281.710000,15,4.600000,
101350,36.000000,282.180000,282.180000,16,4.600000,
101240,45.000000,282.250000,282.250000,19,4.500000,
101080,59.000000,282.230000,282.230000,23,4.400000,
100960,68.000000,282.140000,282.140000,28,4.300000,
100870,75.000000,282.160000,282.160000,32,4.200000,
100710,89.000000,282.180000,282.170000,36,4.100000,
100600,98.000000,282.160000,282.050000,40,4.100000,
100490,107.000000,282.070000,281.980000,44,4.000000,
100360,118.000000,281.970000,281.930000,48,3.900000,
100230,128.000000,282.070000,281.920000,51,3.800000,
100130,137.000000,282.110000,282.020000,55,3.600000,
100000,148.000000,282.510000,282.490000,58,3.500000,
99900,156.000000,282.440000,282.440000,63,3.400000,
99770,167.000000,282.720000,282.720000,66,3.400000,
99680,174.000000,282.980000,282.980000,70,3.400000,
99590,182.000000,282.950000,282.950000,73,3.500000,
99510,189.000000,282.980000,282.980000,76,3.600000,
99430,195.000000,282.930000,282.930000,79,3.700000,
99330,203.000000,283.020000,283.020000,82,3.800000,
99230,212.000000,283.020000,283.020000,85,3.800000,
99080,225.000000,282.910000,282.910000,88,3.900000,
98970,234.000000,282.790000,282.790000,90,3.900000,
98870,242.000000,282.720000,282.720000,92,3.800000,
98780,249.000000,282.720000,282.720000,94,3.600000,
98660,260.000000,282.740000,282.740000,96,3.400000,
98520,272.000000,282.980000,282.980000,99,3.100000,
98380,283.000000,283.260000,283.260000,101,2.800000,
98260,294.000000,283.330000,283.330000,102,2.500000,
98190,300.000000,283.330000,283.330000,102,2.300000,
98010,315.000000,283.490000,283.490000,101,2.000000,
97900,324.000000,283.420000,283.420000,96,1.800000,
97800,333.000000,283.420000,283.420000,88,1.600000,
97680,343.000000,283.420000,283.420000,77,1.500000,
97550,355.000000,283.420000,283.420000,63,1.400000,
97420,366.000000,283.420000,283.420000,50,1.400000,
97340,372.000000,283.380000,283.380000,39,1.400000,
97150,388.000000,283.310000,283.310000,34,1.400000,
97040,398.000000,283.190000,283.190000,31,1.400000,
96940,407.000000,283.210000,283.210000,30,1.300000,
96830,416.000000,283.170000,283.170000,28,1.200000,
96690,428.000000,283.190000,283.190000,23,1.200000,
96560,439.000000,283.070000,283.070000,18,1.200000,
96460,448.000000,283.070000,283.070000,12,1.300000,
96380,455.000000,283.000000,283.000000,7,1.500000,
96290,463.000000,283.070000,283.070000,5,1.700000,
