numer_sta,date,nb_niv,
07761,20241205125555,1344,
p_niv,altitude,t,td,dd,ff,
38094,7587.900000,237.590000,229.220000,10,33.000000,
38052,7595.700000,237.490000,229.110000,10,33.000000,
38005,7604.200000,237.390000,228.990000,10,32.900000,
37964,7611.800000,237.310000,228.920000,10,32.800000,
37920,7619.800000,237.270000,228.890000,10,32.700000,
37875,7628.100000,237.170000,228.820000,10,32.600000,
37830,7636.400000,237.090000,228.770000,10,32.400000,
37785,7644.700000,237.020000,228.630000,10,32.300000,
37739,7653.000000,236.940000,228.490000,10,32.200000,
37690,7662.000000,236.840000,228.300000,10,32.100000,
37641,7671.100000,236.820000,228.120000,10,32.000000,
37599,7678.700000,236.770000,227.920000,10,32.000000,
37559,7686.300000,236.720000,227.710000,10,31.900000,
37520,7693.400000,236.670000,227.490000,10,31.800000,
37476,7701.500000,236.570000,227.230000,10,31.700000,
37430,7710.100000,236.500000,226.910000,9,31.600000,
37385,7718.400000,236.460000,226.640000,9,31.500000,
37341,7726.500000,236.440000,226.460000,9,31.300000,
37296,7734.800000,236.390000,226.300000,9,31.200000,
37249,7743.600000,236.340000,226.240000,9,31.000000,
37203,7752.100000,236.270000,226.180000,9,30.900000,
37160,7760.100000,236.180000,226.110000,10,30.700000,
37125,7766.700000,236.130000,226.110000,10,30.600000,
37079,7775.200000,236.060000,226.020000,10,30.600000,
37036,7783.300000,236.010000,225.940000,10,30.500000,
36995,7790.900000,235.930000,225.830000,11,30.500000,
36952,7799.000000,235.830000,225.670000,11,30.500000,
36908,7807.200000,235.800000,225.530000,11,30.600000,
36865,7815.200000,235.720000,225.290000,11,30.700000,
36822,7823.300000,235.650000,225.000000,12,30.800000,
36776,7831.800000,235.600000,224.670000,12,30.900000,
36732,7840.100000,235.570000,224.370000,12,31.000000,
36682,7849.500000,235.470000,223.990000,12,31.100000,
36647,7856.100000,235.470000,223.680000,12,31.200000,
36606,7863.900000,235.420000,223.420000,13,31.300000,
36558,7872.800000,235.340000,223.150000,13,31.400000,
36517,7880.600000,235.290000,222.890000,13,31.500000,
36476,7888.300000,235.260000,222.670000,13,31.600000,
36434,7896.300000,235.210000,222.540000,13,31.700000,
36392,7904.100000,235.180000,222.520000,13,31.800000,
36358,7910.700000,235.160000,222.500000,13,31.900000,
36316,7918.600000,235.050000,222.480000,13,32.000000,
36269,7927.600000,235.030000,222.520000,13,32.100000,
36219,7937.000000,234.950000,222.480000,13,32.200000,
36174,7945.500000,234.900000,222.410000,13,32.400000,
36133,7953.300000,234.820000,222.320000,13,32.500000,
36086,7962.200000,234.740000,222.250000,13,32.600000,
36043,7970.500000,234.660000,222.180000,13,32.700000,
36006,7977.600000,234.580000,222.130000,13,32.800000,
35965,7985.300000,234.500000,222.040000,13,32.800000,
35925,7993.000000,234.450000,222.000000,13,32.800000,
35876,8002.400000,234.350000,221.880000,13,32.700000,
35830,8011.100000,234.270000,221.760000,13,32.700000,
35793,8018.300000,234.220000,221.670000,13,32.500000,
35754,8025.800000,234.140000,221.600000,14,32.400000,
35712,8033.700000,234.080000,221.570000,13,32.400000,
35666,8042.700000,234.000000,221.530000,13,32.300000,
35624,8050.600000,233.920000,221.510000,13,32.300000,
35577,8059.700000,233.840000,221.460000,13,32.300000,
35534,8067.900000,233.800000,221.380000,13,32.300000,
35485,8077.500000,233.770000,221.300000,13,32.400000,
35438,8086.500000,233.690000,221.200000,13,32.400000,
35401,8093.700000,233.660000,221.160000,13,32.500000,
35364,8100.800000,233.580000,221.080000,13,32.600000,
35322,8108.900000,233.560000,221.070000,13,32.700000,
35272,8118.500000,233.530000,221.070000,13,32.800000,
35227,8127.400000,233.530000,221.050000,13,33.000000,
35186,8135.300000,233.470000,220.950000,13,33.100000,
35147,8142.900000,233.420000,220.810000,13,33.200000,
35102,8151.600000,233.310000,220.590000,13,33.300000,
35058,8160.100000,233.260000,220.350000,13,33.400000,
35017,8168.200000,233.200000,220.090000,14,33.400000,
34967,8178.000000,233.150000,219.790000,14,33.500000,
34925,8186.100000,233.070000,219.450000,14,33.600000,
34887,8193.500000,232.980000,219.050000,14,33.700000,
34841,8202.600000,232.960000,218.630000,14,33.700000,
34803,8210.100000,232.900000,218.200000,14,33.900000,
34761,8218.100000,232.820000,217.800000,14,34.000000,
34719,8226.500000,232.770000,217.480000,14,34.100000,
34677,8234.800000,232.740000,217.240000,14,34.200000,
34633,8243.400000,232.710000,217.170000,14,34.300000,
34588,8252.100000,232.630000,217.130000,14,34.400000,
34541,8261.500000,232.550000,217.150000,14,34.500000,
34491,8271.300000,232.520000,217.250000,14,34.500000,
34451,8279.200000,232.490000,217.470000,14,34.600000,
34411,8287.200000,232.430000,217.670000,14,34.600000,
34368,8295.500000,232.380000,217.920000,13,34.600000,
34322,8304.800000,232.270000,218.090000,13,34.500000,
34276,8313.900000,232.240000,218.370000,13,34.500000,
34234,8322.300000,232.160000,218.510000,13,34.500000,
34188,8331.300000,232.100000,218.700000,13,34.400000,
34143,8340.400000,232.020000,218.800000,12,34.400000,
34100,8348.800000,231.930000,218.910000,12,34.500000,
34053,8358.200000,231.880000,219.030000,12,34.500000,
34004,8367.900000,231.790000,219.100000,11,34.600000,
33957,8377.300000,231.710000,219.170000,11,34.800000,
33913,8386.200000,231.600000,219.190000,10,35.000000,
33863,8396.300000,231.480000,219.190000,10,35.200000,
33816,8405.500000,231.460000,219.250000,10,35.400000,
33774,8414.100000,231.340000,219.220000,9,35.600000,
33728,8423.200000,231.300000,219.270000,9,35.800000,
33684,8432.000000,231.240000,219.320000,9,36.000000,
33639,8441.100000,231.240000,219.320000,9,36.200000,
33593,8450.500000,231.190000,219.180000,9,36.400000,
33550,8459.000000,231.190000,219.100000,9,36.600000,
33501,8468.900000,231.180000,219.100000,9,36.800000,
33459,8477.500000,231.130000,219.110000,9,36.900000,
33408,8487.800000,231.070000,219.110000,9,37.000000,
33359,8497.700000,230.980000,219.080000,9,37.100000,
33310,8507.600000,230.930000,219.080000,9,37.200000,
33265,8516.700000,230.810000,219.020000,9,37.300000,
33217,8526.400000,230.780000,218.990000,9,37.400000,
33173,8535.400000,230.700000,218.910000,10,37.400000,
33125,8545.200000,230.610000,218.840000,10,37.400000,
33083,8553.800000,230.560000,218.760000,10,37.400000,
33033,8564.000000,230.470000,218.690000,10,37.400000,
32989,8573.100000,230.390000,218.560000,11,37.300000,
32946,8581.800000,230.310000,218.430000,11,37.200000,
32902,8590.800000,230.220000,218.280000,11,37.000000,
32852,8601.100000,230.170000,218.190000,11,36.900000,
32802,8611.400000,230.110000,218.080000,11,36.700000,
32753,8621.300000,230.060000,217.990000,11,36.500000,
32707,8630.800000,230.000000,217.920000,11,36.300000,
32660,8640.500000,229.940000,217.850000,11,36.200000,
32619,8649.000000,229.840000,217.770000,11,36.000000,
32570,8659.100000,229.780000,217.710000,11,35.800000,
32527,8668.000000,229.670000,217.590000,11,35.700000,
32478,8678.000000,229.560000,217.480000,11,35.600000,
32428,8688.500000,229.450000,217.390000,11,35.500000,
32376,8699.200000,229.400000,217.350000,10,35.400000,
32321,8710.600000,229.320000,217.330000,10,35.400000,
32276,8720.000000,229.240000,217.280000,10,35.500000,
32228,8730.000000,229.130000,217.220000,9,35.500000,
