numer_sta,date,nb_niv,
07761,20241207005734,521,
p_niv,altitude,t,td,dd,ff,
21800,11392.200000,217.370000,209.150000,338,43.400000,
21708,11419.200000,217.120000,208.230000,338,43.300000,
21620,11445.100000,216.890000,208.010000,338,43.200000,
21536,11469.800000,216.670000,208.500000,339,43.100000,
21452,11494.500000,216.450000,208.990000,339,42.800000,
21369,11519.300000,216.230000,209.480000,339,42.600000,
21282,11544.800000,216.030000,209.610000,339,42.300000,
21184,11574.200000,215.780000,209.630000,339,42.100000,
21092,11601.700000,215.720000,209.770000,340,42.000000,
21009,11626.400000,215.500000,209.740000,340,41.900000,
20920,11653.200000,215.280000,209.840000,340,42.000000,
20833,11679.400000,215.110000,209.660000,340,42.100000,
20745,11706.100000,214.900000,209.350000,340,42.300000,
20662,11731.400000,214.680000,209.120000,340,42.500000,
20589,11753.700000,214.470000,208.720000,340,42.800000,
20522,11774.200000,214.320000,208.510000,339,43.200000,
20455,11794.700000,214.250000,208.400000,339,43.600000,
20362,11823.100000,214.060000,208.180000,339,44.000000,
20272,11851.000000,213.840000,208.070000,339,44.400000,
20183,11878.600000,213.570000,207.920000,339,44.700000,
20114,11900.000000,213.400000,207.850000,338,45.000000,
20024,11927.800000,213.150000,207.760000,338,45.100000,
19933,11956.200000,212.960000,207.640000,338,45.200000,
19841,11985.000000,212.900000,207.910000,338,45.200000,
19742,12016.300000,212.660000,207.460000,338,45.200000,
19652,12044.800000,212.400000,207.280000,338,45.100000,
19575,12069.100000,212.150000,207.100000,338,45.000000,
19476,12100.600000,211.870000,206.910000,338,44.900000,
19359,12138.000000,211.560000,206.750000,338,44.700000,
19259,12170.100000,211.340000,206.300000,339,44.600000,
19169,12199.000000,211.130000,206.040000,339,44.400000,
19073,12230.000000,210.910000,205.700000,340,44.200000,
18971,12263.200000,210.710000,205.300000,340,44.000000,
18870,12296.000000,210.490000,205.060000,341,43.800000,
18765,12330.400000,210.240000,204.430000,341,43.700000,
18661,12364.600000,210.040000,204.060000,342,43.600000,
18564,12396.600000,209.770000,203.430000,342,43.500000,
18467,12428.700000,209.480000,202.810000,342,43.600000,
18370,12461.000000,209.210000,202.140000,342,43.600000,
18280,12491.200000,208.970000,201.490000,343,43.600000,
18195,12519.600000,208.710000,200.750000,343,43.600000,
18114,12546.800000,208.490000,200.130000,343,43.400000,
18029,12575.700000,208.240000,199.200000,343,43.100000,
17945,12603.900000,208.000000,198.330000,343,42.600000,
17856,12634.300000,207.720000,197.510000,343,42.200000,
17772,12663.100000,207.470000,196.580000,343,41.700000,
17687,12692.200000,207.290000,195.840000,343,41.400000,
17595,12723.800000,207.100000,195.240000,343,41.200000,
17518,12750.400000,207.070000,194.560000,343,41.200000,
17430,12780.900000,206.940000,193.880000,343,41.300000,
17389,12795.000000,206.860000,193.450000,343,41.500000,
17270,12836.600000,207.210000,193.030000,343,41.900000,
17191,12864.400000,207.410000,192.730000,344,42.100000,
17098,12897.600000,207.650000,192.570000,344,42.200000,
17011,12928.300000,207.740000,192.230000,344,42.100000,
16933,12956.400000,207.960000,192.280000,344,41.800000,
16856,12984.200000,208.260000,192.260000,345,41.400000,
16768,13016.000000,208.350000,192.160000,345,41.000000,
16679,13048.600000,208.270000,191.620000,345,40.500000,
16591,13080.800000,208.110000,191.180000,345,40.000000,
16495,13116.000000,207.850000,190.800000,345,39.600000,
16407,13148.500000,207.600000,190.180000,345,39.300000,
16334,13175.800000,207.360000,189.640000,345,39.100000,
16242,13209.800000,207.120000,189.310000,344,39.000000,
16159,13241.000000,206.960000,189.100000,344,38.900000,
16071,13274.000000,206.790000,188.680000,343,39.000000,
15996,13302.500000,206.720000,188.280000,342,39.000000,
15917,13332.400000,207.210000,188.440000,342,39.200000,
15835,13363.600000,207.210000,188.260000,341,39.300000,
15747,13397.600000,207.080000,187.550000,341,39.400000,
15662,13430.200000,206.940000,187.250000,341,39.400000,
15582,13461.300000,207.140000,186.920000,341,39.200000,
15500,13493.400000,207.450000,187.090000,342,38.900000,
15415,13526.600000,207.710000,186.820000,342,38.400000,
15322,13563.500000,207.820000,186.600000,343,37.800000,
15237,13597.300000,207.710000,186.200000,344,37.200000,
15158,13629.000000,207.470000,185.590000,344,36.600000,
15071,13664.000000,207.190000,185.140000,344,36.200000,
14987,13697.600000,206.990000,185.000000,345,36.000000,
14904,13731.300000,206.900000,184.330000,345,36.000000,
14813,13768.500000,207.070000,184.270000,345,36.200000,
14720,13806.800000,207.160000,184.380000,346,36.400000,
14628,13844.700000,207.320000,184.480000,346,36.700000,
14535,13883.600000,207.340000,184.510000,347,36.900000,
14444,13921.400000,207.360000,184.380000,347,36.900000,
14405,13938.100000,207.630000,184.690000,348,36.900000,
14276,13992.600000,207.380000,184.190000,349,36.300000,
14192,14028.300000,207.690000,184.090000,351,35.800000,
14107,14065.100000,208.510000,184.680000,352,35.000000,
14016,14104.600000,208.640000,184.120000,354,34.100000,
13934,14140.400000,208.810000,183.760000,355,33.300000,
13898,14156.000000,208.880000,183.620000,356,32.900000,
13780,14208.400000,208.660000,181.440000,357,31.800000,
13702,14243.000000,208.530000,180.470000,358,31.100000,
13633,14273.600000,208.260000,180.270000,358,30.400000,
13559,14306.800000,208.000000,180.090000,358,29.700000,
13487,14339.200000,207.740000,179.910000,358,28.900000,
13450,14355.900000,207.580000,179.800000,358,28.500000,
13330,14410.400000,207.190000,179.530000,358,27.400000,
13244,14449.600000,206.940000,179.350000,357,26.700000,
13158,14489.200000,206.850000,179.280000,356,26.200000,
13085,14522.800000,206.900000,179.320000,355,25.900000,
13049,14539.600000,206.900000,179.320000,355,25.800000,
12943,14588.700000,207.030000,179.410000,353,25.800000,
12876,14620.500000,206.750000,179.220000,351,26.000000,
12806,14653.500000,206.640000,179.140000,351,26.400000,
12742,14683.500000,206.550000,179.080000,350,26.800000,
12680,14713.300000,206.530000,179.060000,349,27.300000,
12616,14743.900000,207.070000,179.440000,349,27.900000,
12545,14778.100000,207.720000,179.900000,349,28.500000,
12481,14808.900000,208.090000,180.160000,348,29.100000,
12427,14835.600000,208.240000,180.260000,348,29.700000,
12368,14864.200000,208.440000,180.400000,349,30.100000,
12314,14891.200000,208.840000,180.690000,349,30.400000,
12253,14921.300000,209.100000,180.860000,349,30.600000,
12196,14950.000000,209.730000,181.310000,350,30.700000,
12157,14969.900000,210.020000,181.510000,350,30.600000,
12113,14992.200000,210.250000,181.670000,351,30.500000,
12067,15015.300000,210.690000,181.980000,351,30.300000,
12012,15043.400000,211.000000,182.190000,352,30.000000,
11957,15072.300000,211.200000,182.330000,353,29.600000,
11899,15102.100000,211.760000,182.730000,355,29.200000,
11842,15132.000000,212.290000,183.100000,356,28.700000,
11779,15165.000000,212.790000,183.440000,357,28.100000,
11726,15193.300000,213.660000,184.050000,359,27.400000,
11670,15223.200000,214.250000,184.500000,0,26.600000,
11644,15237.100000,214.450000,184.610000,1,26.200000,
11563,15281.000000,214.470000,184.610000,3,24.900000,
11512,15308.700000,214.430000,184.590000,5,24.000000,
11464,15334.600000,214.400000,184.560000,6,23.100000,
11410,15364.300000,214.300000,184.500000,7,22.200000,
11368,15387.900000,214.120000,184.370000,8,21.200000,
11313,15417.800000,214.140000,184.380000,9,20.200000,
11255,15450.000000,214.010000,184.290000,10,19.300000,
11200,15481.100000,213.860000,184.190000,11,18.400000,
11145,15511.500000,213.730000,184.100000,13,17.400000,
11094,15540.200000,213.550000,183.970000,14,16.500000,
11052,15564.000000,213.370000,183.840000,15,15.500000,
10994,15596.800000,213.140000,183.680000,16,14.300000,
10935,15630.500000,212.940000,183.550000,17,13.100000,
10882,15661.000000,212.710000,183.390000,17,11.800000,
10828,15691.600000,212.590000,183.300000,18,10.500000,
10775,15722.200000,212.680000,183.370000,18,9.200000,
10721,15753.400000,212.350000,183.140000,18,8.000000,
10661,15788.400000,211.950000,182.860000,17,6.800000,
10600,15823.800000,212.020000,182.910000,16,5.700000,
10546,15856.000000,211.870000,182.800000,15,4.800000,
10492,15887.400000,211.670000,182.660000,14,4.000000,
10445,15915.100000,211.560000,182.590000,11,3.300000,
10403,15940.300000,211.330000,182.420000,8,2.800000,
10370,15960.100000,211.180000,182.320000,4,2.500000,
10341,15977.000000,211.090000,182.260000,358,2.200000,
10314,15993.300000,210.940000,182.160000,351,2.000000,
10288,16009.200000,210.940000,182.160000,343,1.800000,
10276,16016.400000,210.890000,182.120000,339,1.700000,
10235,16041.000000,210.820000,182.070000,324,1.800000,
10199,16062.500000,210.740000,182.020000,313,2.100000,
10157,16088.300000,210.870000,182.110000,306,2.600000,
10114,16114.400000,210.870000,182.110000,304,3.400000,
10057,16148.900000,211.220000,182.350000,304,4.200000,
9996,16186.700000,211.530000,182.560000,306,5.100000,
9927,16229.900000,211.270000,182.380000,308,6.100000,
9857,16273.600000,210.960000,182.170000,310,7.000000,
9786,16318.100000,210.730000,182.000000,312,8.000000,
9720,16359.700000,210.530000,181.860000,313,9.000000,
9657,16399.600000,210.200000,181.640000,312,9.800000,
9596,16439.100000,209.890000,181.420000,311,10.700000,
9534,16478.600000,209.600000,181.220000,309,11.500000,
9479,16514.200000,209.350000,181.040000,307,12.400000,
9451,16532.100000,209.280000,180.990000,306,12.800000,
9363,16589.800000,209.440000,181.100000,303,14.400000,
9315,16621.200000,209.400000,181.080000,301,15.700000,
9266,16653.100000,209.330000,181.030000,300,17.100000,
9213,16688.700000,209.420000,181.090000,299,18.400000,
9159,16724.400000,209.860000,181.400000,299,19.500000,
9102,16763.100000,210.340000,181.740000,300,20.300000,
9052,16796.700000,210.640000,181.940000,302,20.800000,
9005,16829.100000,211.540000,182.580000,304,21.000000,
8980,16846.200000,211.510000,182.550000,305,21.000000,
8907,16896.700000,211.380000,182.460000,308,20.900000,
8861,16928.700000,211.340000,182.440000,311,20.900000,
8822,16956.400000,211.670000,182.660000,313,20.800000,
8781,16984.900000,211.600000,182.610000,317,20.500000,
8732,17019.700000,211.530000,182.560000,320,20.100000,
8687,17051.800000,211.380000,182.460000,323,19.800000,
8637,17087.300000,211.380000,182.460000,327,19.400000,
8597,17116.100000,211.550000,182.580000,330,19.100000,
8551,17149.100000,211.950000,182.860000,333,18.900000,
8499,17186.900000,212.790000,183.440000,334,18.900000,
8446,17225.800000,213.660000,184.050000,334,18.900000,
8420,17245.600000,214.160000,184.390000,335,18.900000,
